number,x,y
1,0,0
2,0,-1
3,0,-2
4,-1,-2
5,1,0
6,0,-3
7,2,0
8,-1,-1
9,-1,0
10,-2,-2
11,2,-1
12,-2,0
13,1,-2
14,-2,1
15,3,0
16,4,0
17,2,-2
18,-3,0
19,-2,-3
20,0,1
21,0,-4
22,4,-1
23,4,-2
24,5,-2
25,-3,-3
26,-1,1
27,-4,-3
28,5,0
29,-5,-3
30,-1,-4
31,-5,-2
32,5,-1
33,6,-1
34,-6,-2
35,-3,1
36,6,-2
37,3,1
38,-4,0
39,-3,2
40,5,-3
41,-7,-2
42,0,2
43,-4,1
44,1,-4
45,-7,-3
46,0,3
47,1,3
48,6,0
49,-7,-1
50,-7,-4
51,-8,-4
52,-2,-4
53,7,-1
54,6,1
55,1,-5
56,8,-1
57,-1,3
58,-2,3
59,-1,4
60,-2,-5
61,-3,-5
62,7,-2
63,1,4
64,-1,-5
65,9,-1
66,-8,-5
67,6,-3
68,10,-1
69,-1,5
70,-1,-6
71,1,5
72,6,-4
73,-1,6
74,-8,-6
75,-8,-7
76,0,6
77,-9,-5
78,-2,6
79,-3,6
80,-8,-8
81,-7,-6
82,-2,-6
83,1,6
84,-2,7
85,2,-3
86,-7,-8
87,-10,-5
88,-1,-7
89,0,7
90,-1,7
91,2,-5
92,-8,-1
93,10,0
94,10,1
95,6,-5
96,-4,6
97,-1,8
98,-8,-9
99,9,1
100,-1,9
101,0,8
102,7,-5
103,2,6
104,7,-6
105,-9,-8
106,11,-1
107,-11,-5
108,8,-6
109,7,-7
110,-3,7
111,-7,-9
112,12,-1
113,5,-5
114,-5,6
115,-1,-8
116,-2,8
117,8,-7
118,-1,10
119,-12,-5
120,-11,-4
121,8,-8
122,-5,1
123,10,-2
124,-9,-9
125,-4,-4
126,-11,-6
127,-11,-7
128,-8,-10
129,8,-9
130,-9,-1
131,9,-9
132,-1,11
133,9,-6
134,-7,-10
135,-13,-5
136,-1,12
137,-13,-4
138,-10,-7
139,-12,-7
140,0,-8
141,1,8
142,-1,13
143,0,13
144,-6,6
145,7,-3
146,11,-2
147,10,-9
148,11,-9
149,-11,-8
150,13,-1
151,3,6
152,-14,-5
153,-15,-5
154,-1,14
155,-1,15
156,-13,-7
157,14,-1
158,-12,-8
159,-7,0
160,-6,-10
161,-3,8
162,-10,-9
163,2,7
164,14,-2
165,-6,7
166,0,15
167,0,16
168,-16,-5
169,7,-9
170,11,-10
171,-2,15
172,11,-8
173,0,17
174,0,18
175,11,-11
176,0,19
177,-6,8
178,-2,-8
179,-5,-10
180,13,0
181,12,-10
182,0,20
183,0,21
184,-2,16
185,4,-5
186,-1,21
187,-2,21
188,13,1
189,-2,22
190,13,-10
191,12,-11
192,1,17
193,-7,6
194,-5,-11
195,-16,-6
196,-7,5
197,-9,-10
198,-7,-11
199,-7,-12
200,8,-10
201,-3,15
202,-2,10
203,0,9
204,-16,-4
205,-13,-8
206,15,-2
207,15,-3
208,14,1
209,12,-9
210,-3,21
211,5,-6
212,16,-3
213,-2,23
214,-12,-9
215,-4,21
216,6,-9
217,-17,-5
218,-5,-12
219,-11,-3
220,-2,24
221,-6,-11
222,-4,15
223,-2,25
224,-1,25
225,-13,-3
226,15,1
227,-16,-3
228,13,-2
229,13,2
230,-8,6
231,-2,26
232,-6,-12
233,-5,21
234,-6,-13
235,6,-10
236,-18,-5
237,14,-10
238,12,-12
239,-18,-6
240,-6,-14
241,-4,14
242,12,2
243,0,22
244,3,7
245,-7,-14
246,8,-11
247,-18,-7
248,16,-2
249,16,1
250,1,19
251,2,-6
252,-4,-12
253,-3,26
254,14,-11
255,12,-13
256,17,-2
257,17,-3
258,0,25
259,0,26
260,-18,-8
261,-19,-7
262,-6,21
263,-20,-7
264,-17,-3
265,-6,20
266,2,19
267,-17,-2
268,-6,22
269,-18,-4
270,-6,23
271,-17,-1
272,-7,20
273,-20,-8
274,0,27
275,0,28
276,-21,-7
277,14,-12
278,18,-2
279,15,-10
280,-2,27
281,-7,1
282,17,-4
283,0,29
284,18,-4
285,-8,-14
286,-17,0
287,-7,22
288,14,2
289,-1,23
290,-21,-6
291,17,-5
292,-7,8
293,-7,23
294,3,8
295,-7,-15
296,13,3
297,1,21
298,-18,-9
299,-18,-10
300,-5,23
301,7,-11
302,-3,-12
303,-21,-5
304,-2,-12
305,-18,-11
306,19,-2
307,1,29
308,-10,-10
309,-1,29
310,-18,-2
311,-4,26
312,-8,20
313,-1,28
314,2,29
315,2,30
316,-4,27
317,4,8
318,-13,-9
319,-5,27
320,17,1
321,11,-12
322,-7,9
323,-2,-13
324,18,1
325,-20,-9
326,-8,8
327,16,-10
328,-18,-12
329,19,1
330,-8,5
331,-20,-5
332,10,-12
333,-8,1
334,16,-9
335,2,21
336,16,-11
337,17,2
338,5,8
339,-5,28
340,-20,-4
341,17,3
342,-17,-12
343,-6,-15
344,-1,-13
345,17,-11
346,-9,5
347,-11,-2
348,-9,8
349,0,-13
350,-5,15
351,17,4
352,-5,29
353,12,-14
354,-7,24
355,-2,29
356,-21,-9
357,3,19
358,6,2
359,17,-10
360,-8,-12
361,13,-14
362,-16,0
363,2,31
364,12,-15
365,19,-3
366,-8,22
367,-22,-5
368,12,-16
369,18,-11
370,-23,-5
371,0,-14
372,3,20
373,3,30
374,2,32
375,18,-5
376,19,0
377,20,-2
378,-6,-16
379,1,32
380,2,33
381,21,-2
382,-9,9
383,-6,-17
384,3,32
385,18,3
386,2,22
387,4,19
388,-22,-7
389,-8,-15
390,-6,27
391,-23,-4
392,14,-14
393,-22,-9
394,20,1
395,-8,24
396,-6,26
397,-11,-10
398,-7,-17
399,-23,-6
400,0,-15
401,-7,-18
402,-18,-3
403,20,2
404,-22,-4
405,4,30
406,-2,30
407,1,13
408,11,-16
409,-24,-6
410,14,-13
411,1,33
412,5,19
413,21,2
414,5,30
415,-24,-4
416,-8,25
417,-19,-4
418,18,-12
419,-25,-4
420,-7,26
421,4,32
422,-21,-10
423,-24,-3
424,-9,24
425,4,33
426,15,-14
427,-26,-4
428,19,-11
429,20,-11
430,-5,-17
431,-8,19
432,-3,30
433,1,-15
434,-2,31
435,5,20
436,-9,25
437,-17,1
438,20,-12
439,-19,-3
440,-25,-5
441,2,34
442,17,5
443,-5,30
444,6,20
445,22,2
446,-12,-2
447,-5,-16
448,3,34
449,-6,28
450,-27,-4
451,22,1
452,23,2
453,-10,9
454,-19,-2
455,17,6
456,-24,-7
457,-28,-4
458,-5,14
459,-22,-3
460,-17,-13
461,11,-17
462,24,2
463,-29,-4
464,18,-6
465,5,33
466,0,-16
467,21,-3
468,20,-13
469,-27,-5
470,-7,-19
471,-25,-7
472,-6,29
473,0,33
474,19,-5
475,-27,-6
476,-25,-8
477,-10,25
478,-30,-4
479,22,3
480,-7,-20
481,17,7
482,-7,-21
483,-30,-3
484,20,-10
485,-8,-20
486,-9,-15
487,-7,10
488,-30,-2
489,-27,-7
490,3,22
491,21,-11
492,22,4
493,13,-16
494,-9,20
495,-28,-7
496,-8,-17
497,16,7
498,25,2
499,-10,10
500,22,-3
501,-9,-20
502,22,5
503,-31,-2
504,23,4
505,-31,-4
506,0,34
507,22,0
508,6,33
509,-26,-8
510,-7,-22
511,-5,-18
512,-32,-2
513,-31,-5
514,-4,-18
515,3,35
516,-7,28
517,21,-12
518,-9,-21
519,-8,26
520,-1,34
521,-24,-2
522,3,36
523,-30,-5
524,-6,-22
525,-15,0
526,-19,-12
527,18,-13
528,-2,32
529,-33,-2
530,22,-11
531,-32,-1
532,10,-17
533,18,7
534,1,27
535,-6,15
536,-6,-23
537,14,-16
538,14,-17
539,-30,-6
540,-6,-24
541,24,1
542,-30,-1
543,-32,0
544,6,34
545,-8,-22
546,-6,-25
547,23,-3
548,-5,31
549,-31,-6
550,-6,31
551,10,-18
552,-33,-3
553,-34,-2
554,-32,-6
555,-31,-7
556,23,-11
557,-6,32
558,-32,-7
559,-7,-25
560,21,4
561,-10,-15
562,7,34
563,23,-10
564,3,37
565,-32,1
566,-34,-3
567,-7,29
568,24,4
569,5,32
570,24,-11
571,-1,-15
572,-7,32
573,6,21
574,24,-12
575,-18,-13
576,25,-12
577,11,1
578,-7,33
579,4,35
580,6,8
581,-8,-23
582,0,-17
583,-33,-7
584,-8,-25
585,26,-12
586,15,-17
587,5,7
588,-17,2
589,22,6
590,-9,23
591,-31,-8
592,-4,16
593,8,34
594,-31,-9
595,18,-14
596,-22,-10
597,26,2
598,19,-14
599,-6,-26
600,8,33
601,2,36
602,26,-11
603,25,-13
604,4,37
605,27,-11
606,-31,1
607,27,2
608,14,-18
609,10,2
610,-8,-19
611,28,2
612,-10,-16
613,28,-11
614,-7,34
615,-32,2
616,8,32
617,28,3
618,-8,-26
619,7,21
620,4,38
621,21,6
622,24,5
623,0,35
624,-1,35
625,-8,33
626,-5,-26
627,28,4
628,28,-12
629,27,1
630,28,5
631,9,-17
632,-24,-1
633,-9,-25
634,-28,-8
635,5,37
636,24,-3
637,-5,-27
638,-31,2
639,-10,24
640,21,-13
641,-5,-28
642,5,35
643,-17,-14
644,-5,-29
645,29,3
646,-6,34
647,-10,26
648,-9,-24
649,26,-13
650,-30,2
651,0,36
652,-35,-3
653,-7,35
654,-2,35
655,10,-19
656,25,-14
657,-33,2
658,0,37
659,-32,-9
660,-9,19
661,-34,-1
662,26,-14
663,-5,-30
664,29,-12
665,-10,-21
666,26,-15
667,-28,-9
668,29,2
669,-8,18
670,27,0
671,9,33
672,10,-20
673,-18,-14
674,-11,-21
675,5,18
676,-11,26
677,8,35
678,0,38
679,16,-17
680,-6,35
681,24,6
682,-33,3
683,-30,3
684,3,38
685,-1,38
686,28,6
687,-2,38
688,-8,34
689,22,-12
690,-5,-31
691,29,5
692,27,-15
693,27,-14
694,29,-11
695,-10,20
696,4,39
697,-35,-4
698,-11,27
699,-10,-24
700,30,5
701,-9,10
702,29,-13
703,-4,-26
704,-6,-31
705,22,7
706,0,39
707,-16,-13
708,-35,-5
709,-30,4
710,28,-15
711,10,-21
712,-23,-2
713,-4,-30
714,-12,27
715,27,6
716,-31,-10
717,30,-13
718,15,-18
719,-32,-8
720,-34,2
721,-17,3
722,-29,4
723,10,-22
724,11,-22
725,1,39
726,-4,-31
727,-7,36
728,-8,-27
729,-1,39
730,-9,34
731,-13,27
732,19,-15
733,30,6
734,13,4
735,-8,36
736,-1,40
737,31,-13
738,4,40
739,-20,-12
740,11,-20
741,-36,-4
742,27,-16
743,5,39
744,30,2
745,9,35
746,-35,-1
747,-11,-24
748,9,32
749,-7,-31
750,-6,-30
751,-9,18
752,-4,-32
753,-3,-32
754,0,40
755,31,-14
756,-33,-8
757,-2,-32
758,-7,37
759,12,-22
760,32,-13
761,0,41
762,16,8
763,11,-23
764,28,0
765,31,5
766,1,41
767,-7,-32
768,-25,-1
769,-29,5
770,29,0
771,-34,-7
772,10,35
773,10,36
774,15,-19
775,-2,40
776,4,22
777,16,-19
778,28,-1
779,5,40
780,-5,-32
781,16,-20
782,33,-13
783,28,1
784,-6,37
785,-36,-5
786,-9,35
787,23,-9
788,-33,-9
789,9,36
790,-9,-17
791,-17,4
792,-11,28
793,25,6
794,9,-20
795,-12,-24
796,-11,25
797,11,-24
798,-34,3
799,-12,-21
800,-29,6
801,10,37
802,-28,4
803,-31,4
804,2,28
805,-35,3
806,-5,-33
807,-36,-3
808,30,7
809,-4,-17
810,29,7
811,30,3
812,-9,-27
813,29,-1
814,-8,-32
815,-37,-3
816,31,-15
817,-29,7
818,-8,-33
819,32,5
820,2,27
821,-29,-9
822,30,8
823,31,2
824,31,1
825,18,8
826,-13,28
827,10,34
828,-28,7
829,-3,-33
830,-4,-29
831,1,-17
832,-37,-5
833,30,9
834,10,38
835,32,-15
836,-36,3
837,-4,-25
838,31,9
839,-1,41
840,-27,7
841,-37,-2
842,-38,-2
843,21,7
844,28,-10
845,-29,8
846,-3,-34
847,-35,2
848,31,8
849,-2,-34
850,11,-25
851,6,37
852,-1,42
853,-27,8
854,-2,-35
855,30,10
856,-30,-9
857,-39,-2
858,32,4
859,6,38
860,-1,43
861,-8,-34
862,-12,26
863,-40,-2
864,8,21
865,-10,11
866,34,-13
867,9,31
868,33,5
869,5,41
870,-1,-34
871,2,41
872,11,38
873,-4,-34
874,-33,-10
875,-33,-11
876,-38,-3
877,0,-34
878,5,42
879,34,5
880,35,-13
881,-9,36
882,-30,7
883,24,7
884,-36,4
885,-5,-34
886,23,-12
887,5,43
888,34,6
889,10,39
890,30,11
891,-40,-1
892,-18,-15
893,-34,-8
894,-34,-11
895,4,42
896,-41,-1
897,-38,-4
898,-2,41
899,28,-16
900,-8,37
901,-42,-1
902,36,-13
903,11,39
904,-3,-35
905,23,-13
906,35,5
907,10,33
908,-3,-36
909,-12,28
910,-37,4
911,37,-13
912,-33,-12
913,6,19
914,-29,-10
915,6,41
916,-2,-33
917,8,-20
918,11,33
919,-12,25
920,4,43
921,12,-25
922,-35,-11
923,-43,-1
924,-44,-1
925,27,-17
926,1,-34
927,38,-13
928,-32,-12
929,1,-35
930,-45,-1
931,-9,-33
932,39,-13
933,32,-16
934,-1,-35
935,-1,44
936,30,12
937,-43,0
938,27,-18
939,-10,-33
940,-28,8
941,9,21
942,-33,-13
943,-4,-36
944,1,-36
945,-45,-2
946,-2,44
947,25,7
948,2,-36
949,-11,20
950,-3,44
951,-11,21
952,18,9
953,11,40
954,2,-37
955,-8,29
956,-31,7
957,2,-38
958,-14,27
959,-3,-37
960,-9,37
961,5,44
962,-45,0
963,28,-9
964,-36,-11
965,10,31
966,-3,45
967,31,0
968,-4,44
969,27,-19
970,-3,41
971,-13,-24
972,1,-33
973,28,-19
974,-43,-2
975,2,-34
976,12,40
977,-43,-3
978,-36,-12
979,-33,-14
980,11,-26
981,-37,5
982,-38,5
983,34,4
984,-13,-25
985,-37,-12
986,13,40
987,-33,-15
988,-10,37
989,3,-36
990,-34,-15
991,5,45
992,-3,-38
