number,x,y
1,0,0
2,-1,0
3,1,0
4,0,-1
5,0,-2
6,-2,0
7,0,-3
8,1,-1
9,-2,1
10,2,-1
11,0,-4
12,-3,0
13,-1,1
14,0,-5
15,1,-5
16,-2,2
17,0,-6
18,3,-1
19,-1,-5
20,-3,-1
21,1,1
22,1,2
23,-4,-1
24,0,-7
25,-2,3
26,-5,-1
27,1,-7
28,-3,1
29,0,-8
30,2,1
31,3,1
32,2,2
33,-1,3
34,-1,-4
35,0,3
36,-1,-6
37,2,-5
38,-1,4
39,3,-2
40,-1,-8
41,-4,0
42,2,-4
43,2,-6
44,-4,1
45,1,3
46,-2,-8
47,3,2
48,4,1
49,4,-2
50,-3,-8
51,-1,5
52,4,2
53,-4,-8
54,2,-7
55,3,-6
56,1,-8
57,-3,-2
58,5,2
59,4,-1
60,6,2
61,7,2
62,2,-8
63,3,-8
64,0,4
65,-5,-8
66,0,-9
67,-1,-9
68,0,5
69,1,-9
70,4,-3
71,3,-9
72,7,1
73,-5,-9
74,-5,-2
75,0,-10
76,1,4
77,-6,-1
78,4,-4
79,5,-3
80,-7,-1
81,3,3
82,-7,-2
83,-5,0
84,8,1
85,4,-6
86,-6,-9
87,-7,-9
88,-2,5
89,-6,-10
90,0,-11
91,-5,1
92,-4,-9
93,3,4
94,0,-12
95,-7,-10
96,-8,-9
97,0,6
98,9,1
99,5,-6
100,4,-9
101,-8,-10
102,10,1
103,8,2
104,0,-13
105,-4,2
106,-1,-13
107,-6,-11
108,7,3
109,-9,-10
110,11,1
111,-7,-3
112,-8,-8
113,1,-10
114,11,2
115,-10,-10
116,4,-10
117,-2,-9
118,-11,-10
119,-12,-10
120,1,6
121,-1,-14
122,-1,-15
123,-11,-11
124,-5,-11
125,12,2
126,-8,-2
127,5,-9
128,-11,-12
129,-8,-11
130,0,7
131,0,-15
132,-9,-2
133,11,3
134,-2,-15
135,11,0
136,1,-15
137,-10,-2
138,-11,-13
139,-7,0
140,9,0
141,5,-2
142,-11,-14
143,6,-6
144,0,-16
145,0,8
146,-4,3
147,11,4
148,-7,1
149,-2,-16
150,3,5
151,11,-1
152,0,9
153,0,10
154,8,3
155,11,-2
156,-2,-17
157,-11,-15
158,-1,7
159,-12,-14
160,-2,-18
161,-1,-18
162,-11,-16
163,12,1
164,-11,-17
165,13,2
166,7,-6
167,-11,-18
168,10,-2
169,-12,-17
170,-1,-19
171,1,10
172,-4,4
173,13,1
174,-1,-20
175,-2,7
176,-10,-1
177,0,-14
178,-3,7
179,-3,-18
180,-12,-16
181,-3,8
182,12,4
183,-12,-18
184,-10,0
185,14,1
186,5,-10
187,-2,-20
188,10,3
189,-11,-19
190,14,2
191,-13,-17
192,-10,-17
193,-1,-21
194,0,11
195,-10,-3
196,-2,6
197,-13,-14
198,2,-15
199,-13,-16
200,0,-17
201,15,2
202,12,5
203,14,0
204,15,3
205,-14,-14
206,16,2
207,2,-14
208,-2,-21
209,-14,-13
210,0,-21
211,15,0
212,15,4
213,-15,-13
214,-2,-22
215,-10,1
216,0,-22
217,0,12
218,4,-11
219,-4,5
220,-3,-22
221,-10,-19
222,-11,-20
223,1,-22
224,11,5
225,-1,11
226,3,-14
227,11,6
228,0,13
229,-2,11
230,-11,-21
231,-10,-4
232,1,13
233,-12,-19
234,8,-6
235,12,6
236,-13,-18
237,-13,-10
238,-12,-21
239,-14,-18
240,-15,-18
241,17,2
242,16,4
243,-3,11
244,2,13
245,-3,12
246,-13,-9
247,7,4
248,11,-3
249,-4,12
250,2,-22
251,10,-3
252,-9,1
253,2,14
254,-4,13
255,-3,-20
256,17,3
257,4,-14
258,-3,13
259,-11,-22
260,6,-10
261,-14,-10
262,-4,-22
263,4,5
264,-9,2
265,2,-21
266,-15,-10
267,-11,-1
268,-10,-5
269,3,-21
270,-12,-1
271,16,0
272,3,14
273,-5,13
274,18,3
275,10,5
276,18,4
277,-10,2
278,-12,-22
279,2,10
280,-3,-23
281,-11,-23
282,0,-23
283,-16,-13
284,19,3
285,3,15
286,2,-23
287,5,-14
288,4,15
289,-11,1
290,-16,-18
291,-1,-23
292,-16,-14
293,4,-21
294,-3,14
295,6,-11
296,15,-1
297,-5,4
298,-6,13
299,19,2
300,-13,-22
301,-11,2
302,-9,-19
303,4,16
304,-16,-10
305,-15,-19
306,18,5
307,6,-12
308,18,6
309,-15,-11
310,0,14
311,7,-12
312,-16,-15
313,5,16
314,3,16
315,4,-20
316,8,4
317,17,0
318,20,2
319,6,16
320,-15,-17
321,-3,15
322,-10,-23
323,7,16
324,-6,14
325,-6,15
326,-13,-1
327,-14,-1
328,2,16
329,20,1
330,21,2
331,20,0
332,-12,2
333,20,3
334,17,-1
335,-17,-14
336,-11,-24
337,2,17
338,-11,-25
339,-12,-25
340,-14,-22
341,-13,-25
342,-17,-10
343,-12,-9
344,9,5
345,18,7
346,-18,-14
347,-14,0
348,-11,-26
349,2,18
350,-14,-25
351,8,16
352,1,18
353,-7,13
354,1,-23
355,-10,3
356,-11,-27
357,9,-6
358,-15,-25
359,9,16
360,7,17
361,17,-2
362,-14,-26
363,-16,-19
364,19,5
365,-8,2
366,-18,-15
367,-15,-26
368,10,16
369,9,17
370,20,5
371,9,18
372,8,18
373,8,19
374,-11,-28
375,-15,-27
376,22,2
377,11,-4
378,10,18
379,21,5
380,10,17
381,8,20
382,23,2
383,23,1
384,-15,-28
385,11,-5
386,11,18
387,-12,3
388,-12,-28
389,0,18
390,22,5
391,-15,0
392,3,-22
393,5,-20
394,19,7
395,7,20
396,-14,-28
397,3,18
398,19,8
399,-6,16
400,-18,-16
401,23,5
402,1,-24
