"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
1.281166670E-1,0.000000000E0
2.430458340E-1,0.000000000E0
3.630541670E-1,0.000000000E0
4.830406250E-1,0.000000000E0
6.030479170E-1,0.000000000E0
7.230531250E-1,0.000000000E0
8.430338540E-1,0.000000000E0
9.630348960E-1,0.000000000E0
1.083058854E0,0.000000000E0
1.203068229E0,0.000000000E0
1.323028125E0,0.000000000E0
1.443039583E0,0.000000000E0
1.563045833E0,0.000000000E0
1.683050521E0,0.000000000E0
1.803069271E0,0.000000000E0
1.923036979E0,0.000000000E0
2.043169271E0,0.000000000E0
2.163057812E0,0.000000000E0
2.283033854E0,0.000000000E0
2.403041667E0,0.000000000E0
2.523051042E0,0.000000000E0
2.643082292E0,0.000000000E0
2.763210937E0,0.000000000E0
2.883190104E0,0.000000000E0
3.003051562E0,0.000000000E0
3.123054687E0,0.000000000E0
3.243039583E0,0.000000000E0
3.363044791E0,0.000000000E0
3.483052083E0,0.000000000E0
3.603058854E0,0.000000000E0
3.723175000E0,0.000000000E0
3.843171875E0,0.000000000E0
3.963050520E0,0.000000000E0
4.083029687E0,0.000000000E0
4.203050000E0,0.000000000E0
4.323045833E0,0.000000000E0
4.443050520E0,0.000000000E0
4.563028645E0,0.000000000E0
4.683043750E0,0.000000000E0
4.803044270E0,0.000000000E0
4.923066145E0,0.000000000E0
5.043028124E0,0.000000000E0
5.163035416E0,0.000000000E0
5.283047395E0,0.000000000E0
5.403056249E0,0.000000000E0
5.523052083E0,0.000000000E0
5.643041666E0,0.000000000E0
5.763063541E0,0.000000000E0
5.883110416E0,0.000000000E0
6.003032812E0,0.000000000E0
6.123036978E0,0.000000000E0
6.243057812E0,0.000000000E0
6.363055208E0,0.000000000E0
6.483034374E0,0.000000000E0
6.603045312E0,0.000000000E0
6.723044791E0,0.000000000E0
6.843057812E0,0.000000000E0
6.963043228E0,0.000000000E0
7.083045312E0,0.000000000E0
7.203048437E0,0.000000000E0
7.323043228E0,0.000000000E0
7.443032291E0,0.000000000E0
7.563048957E0,0.000000000E0
7.683061457E0,0.000000000E0
7.803025520E0,0.000000000E0
7.923179687E0,0.000000000E0
8.043047395E0,0.000000000E0
8.163051562E0,0.000000000E0
8.283042707E0,0.000000000E0
8.403166666E0,0.000000000E0
8.523047916E0,0.000000000E0
8.643060936E0,0.000000000E0
8.763101041E0,0.000000000E0
8.883053124E0,0.000000000E0
9.003050520E0,0.000000000E0
9.123059895E0,0.000000000E0
9.243030207E0,0.000000000E0
9.363059374E0,0.000000000E0
9.483045311E0,0.000000000E0
9.603052603E0,0.000000000E0
9.723032290E0,0.000000000E0
9.843049478E0,0.000000000E0
9.963052603E0,0.000000000E0
1.008306198E1,0.000000000E0
1.020303385E1,0.000000000E0
1.032304114E1,0.000000000E0
1.044308073E1,0.000000000E0
1.056303698E1,0.000000000E0
1.068303698E1,0.000000000E0
1.080304583E1,0.000000000E0
1.092305469E1,0.000000000E0
1.104303229E1,0.000000000E0
1.116303854E1,0.000000000E0
1.128304948E1,0.000000000E0
1.140312656E1,0.000000000E0
1.152303385E1,0.000000000E0
1.164304166E1,0.000000000E0
1.176304375E1,0.000000000E0
1.188306094E1,0.000000000E0
1.200305469E1,0.000000000E0
1.212304271E1,0.000000000E0
1.224304271E1,3.510000000E2
1.236305781E1,1.102700000E4
1.248303489E1,1.194900000E4
1.260304375E1,1.703300000E4
1.272305364E1,2.004800000E4
1.284305469E1,2.002600000E4
1.296303229E1,1.972700000E4
1.308304531E1,1.959400000E4
1.320304739E1,1.947500000E4
1.332307031E1,1.874300000E4
1.344303802E1,1.887400000E4
1.356307604E1,1.910600000E4
1.368306042E1,1.930200000E4
1.380311042E1,1.948000000E4
1.392304844E1,1.944000000E4
1.404305052E1,1.925000000E4
1.416305729E1,1.838600000E4
1.428303229E1,1.747200000E4
1.440316927E1,1.680300000E4
1.452304062E1,1.646700000E4
1.464305052E1,1.637400000E4
1.476302760E1,1.663400000E4
1.488303906E1,1.660000000E4
1.500304948E1,1.658700000E4
1.512307396E1,1.654900000E4
1.524303489E1,1.644200000E4
1.536303750E1,1.643100000E4
1.548305104E1,1.645500000E4
1.560305677E1,1.640200000E4
1.572303594E1,1.637900000E4
1.584304687E1,1.638300000E4
1.596304844E1,1.639700000E4
1.608305573E1,1.638100000E4
1.620304062E1,1.635100000E4
1.632304427E1,1.634100000E4
1.644304739E1,1.633600000E4
1.656320312E1,1.630300000E4
1.668305156E1,1.627900000E4
1.680304010E1,1.628300000E4
1.692305729E1,1.629600000E4
1.704303541E1,1.626500000E4
1.716303437E1,1.626900000E4
1.728311146E1,1.627100000E4
1.740305104E1,1.625600000E4
1.752302708E1,1.623700000E4
1.764303906E1,1.623300000E4
1.776306718E1,1.622000000E4
1.788305625E1,1.621000000E4
1.800303229E1,1.620500000E4
1.812303594E1,1.620300000E4
1.824308177E1,1.619700000E4
1.836305104E1,1.619700000E4
1.848304323E1,1.618800000E4
1.860303750E1,1.619500000E4
1.872305000E1,1.618800000E4
1.884305625E1,1.618000000E4
1.896303385E1,1.617600000E4
1.908304062E1,1.616500000E4
1.920305416E1,1.613800000E4
1.932320208E1,1.611900000E4
1.944303073E1,1.611700000E4
1.956305989E1,1.610400000E4
1.968304687E1,1.609300000E4
1.980305208E1,1.608100000E4
1.992303229E1,1.606400000E4
2.004304791E1,1.606400000E4
2.016305416E1,1.606000000E4
2.028303229E1,1.605600000E4
2.040316458E1,1.605100000E4
2.052309218E1,1.605100000E4
2.064305260E1,1.604700000E4
2.076302760E1,1.603900000E4
2.088316041E1,1.603900000E4
2.100304479E1,1.603900000E4
2.112305781E1,1.603200000E4
2.124303385E1,1.602200000E4
2.136306562E1,1.601700000E4
2.148304270E1,1.599600000E4
2.160319948E1,1.599400000E4
2.172303229E1,1.598800000E4
2.184303854E1,1.598200000E4
2.196304687E1,1.596900000E4
2.208306406E1,1.596900000E4
2.220303646E1,1.595000000E4
2.232304896E1,1.594800000E4
2.244316250E1,1.594600000E4
2.256305520E1,1.593300000E4
2.268303125E1,1.592900000E4
2.280304583E1,1.592300000E4
2.292306614E1,1.591200000E4
2.304302760E1,1.590100000E4
2.316303698E1,1.589700000E4
2.328304635E1,1.588900000E4
2.340305260E1,1.588500000E4
2.352304687E1,1.587400000E4
2.364303593E1,1.586800000E4
2.376305000E1,1.585700000E4
2.388305833E1,1.584900000E4
2.400302656E1,1.584000000E4
2.412303489E1,1.584400000E4
2.424305104E1,1.583600000E4
2.436305364E1,1.582300000E4
2.448304791E1,1.581900000E4
2.460304375E1,1.581700000E4
2.472305156E1,1.580900000E4
2.484305260E1,1.580800000E4
2.496303802E1,1.579200000E4
2.508303802E1,1.579200000E4
2.520306510E1,1.578500000E4
2.532305937E1,1.578300000E4
2.544303593E1,1.577300000E4
2.556304323E1,1.576600000E4
2.568306146E1,1.576600000E4
2.580306614E1,1.575600000E4
2.592303750E1,1.575100000E4
2.604305729E1,1.574900000E4
2.616305000E1,1.574100000E4
2.628302396E1,1.573700000E4
2.640303906E1,1.573300000E4
2.652304635E1,1.572400000E4
2.664305572E1,1.571300000E4
2.676303854E1,1.570500000E4
2.688304479E1,1.570100000E4
2.700304739E1,1.569500000E4
2.712305937E1,1.569000000E4
2.724303177E1,1.568600000E4
2.736304218E1,1.566900000E4
2.748304948E1,1.566300000E4
2.760306875E1,1.565700000E4
2.772302656E1,1.565200000E4
2.784304114E1,1.564600000E4
2.796304739E1,1.564400000E4
2.808305833E1,1.562900000E4
2.820303020E1,1.562100000E4
2.832304739E1,1.561600000E4
2.844305052E1,1.561200000E4
2.856306250E1,1.561200000E4
2.868303229E1,1.560400000E4
2.880303802E1,1.559300000E4
2.892305156E1,1.558700000E4
2.904305833E1,1.558300000E4
2.916305520E1,1.557600000E4
2.928305364E1,1.557000000E4
2.940311718E1,1.556400000E4
2.952302864E1,1.555500000E4
2.964303802E1,1.555100000E4
2.976304062E1,1.554300000E4
2.988305625E1,1.553600000E4
3.000302656E1,1.553200000E4
3.012303281E1,1.552100000E4
3.024304427E1,1.552100000E4
3.036305937E1,1.550700000E4
3.048302448E1,1.550500000E4
3.060303281E1,1.549000000E4
3.072306510E1,1.548600000E4
3.084306145E1,1.547300000E4
3.096302760E1,1.546400000E4
3.108307031E1,1.545600000E4
3.120306718E1,1.543700000E4
3.132305729E1,1.543700000E4
3.144303698E1,1.542800000E4
3.156304479E1,1.541600000E4
3.168304687E1,1.541000000E4
3.180305729E1,1.540700000E4
3.192307135E1,1.540500000E4
3.204304427E1,1.539500000E4
3.216306510E1,1.540500000E4
3.228308020E1,1.540500000E4
3.240304531E1,1.540500000E4
3.252304374E1,1.540300000E4
3.264305104E1,1.541000000E4
3.276303281E1,1.541800000E4
3.288303854E1,1.541600000E4
3.300304270E1,1.542000000E4
3.312305156E1,1.541600000E4
3.324302968E1,1.541800000E4
3.336319218E1,1.541800000E4
3.348304739E1,1.541400000E4
3.360305156E1,1.540900000E4
3.372303229E1,1.539900000E4
3.384306458E1,1.539900000E4
3.396304843E1,1.539100000E4
3.408305572E1,1.538400000E4
3.420303281E1,1.537800000E4
3.432305000E1,1.538000000E4
3.444306562E1,1.537400000E4
3.456306041E1,1.536900000E4
3.468316302E1,1.536300000E4
3.480304062E1,1.535500000E4
