"Time (s)","Illuminance (lx)"
0.000000000E0,0.000000000E0
1.313197920E-1,0.000000000E0
2.471307290E-1,0.000000000E0
3.672661460E-1,0.000000000E0
4.871286460E-1,0.000000000E0
6.072989580E-1,0.000000000E0
7.271421870E-1,0.000000000E0
8.471557290E-1,0.000000000E0
9.672489580E-1,0.000000000E0
1.087135416E0,0.000000000E0
1.208281771E0,0.000000000E0
1.327146354E0,0.000000000E0
1.447126041E0,0.000000000E0
1.567134375E0,0.000000000E0
1.687131250E0,0.000000000E0
1.807147916E0,0.000000000E0
1.927132291E0,0.000000000E0
2.047272916E0,0.000000000E0
2.167152604E0,0.000000000E0
2.287120833E0,0.000000000E0
2.407268229E0,0.000000000E0
2.527139583E0,0.000000000E0
2.647148958E0,0.000000000E0
2.767123958E0,0.000000000E0
2.887128125E0,0.000000000E0
3.007136979E0,0.000000000E0
3.127160416E0,0.000000000E0
3.247123437E0,0.000000000E0
3.367133333E0,0.000000000E0
3.487132291E0,0.000000000E0
3.607143229E0,0.000000000E0
3.727143749E0,0.000000000E0
3.847283333E0,0.000000000E0
3.967141666E0,0.000000000E0
4.087296354E0,0.000000000E0
4.208263541E0,0.000000000E0
4.327136458E0,0.000000000E0
4.447140624E0,0.000000000E0
4.567145312E0,0.000000000E0
4.687120312E0,0.000000000E0
4.807137499E0,0.000000000E0
4.927147916E0,0.000000000E0
5.047150520E0,0.000000000E0
5.167151041E0,0.000000000E0
5.287156249E0,0.000000000E0
5.407140103E0,0.000000000E0
5.527129166E0,0.000000000E0
5.647129166E0,0.000000000E0
5.767132812E0,0.000000000E0
5.887140103E0,0.000000000E0
6.007114062E0,0.000000000E0
6.127128645E0,0.000000000E0
6.247139582E0,0.000000000E0
6.367149478E0,0.000000000E0
6.487113541E0,0.000000000E0
6.607131249E0,0.000000000E0
6.727137499E0,0.000000000E0
6.847149999E0,0.000000000E0
6.967134895E0,0.000000000E0
7.087272395E0,0.000000000E0
7.208274999E0,0.000000000E0
7.327139582E0,0.000000000E0
7.447119270E0,0.000000000E0
