"Time (s)","Illuminance (lx)"
0.000000000E0,3.400000000E1
1.304744790E-1,3.400000000E1
2.463880200E-1,3.200000000E1
3.664010410E-1,3.200000000E1
4.864057290E-1,3.200000000E1
6.064119790E-1,3.200000000E1
7.263968740E-1,3.200000000E1
8.464005200E-1,3.200000000E1
9.664151040E-1,3.200000000E1
1.086408333E0,3.200000000E1
1.206382812E0,3.200000000E1
1.326394270E0,3.400000000E1
1.446404687E0,3.400000000E1
1.566441666E0,3.400000000E1
1.686390103E0,3.400000000E1
1.806398958E0,3.400000000E1
1.926404687E0,3.200000000E1
2.046419791E0,3.200000000E1
2.166388541E0,3.200000000E1
2.286412499E0,3.200000000E1
2.406414062E0,3.200000000E1
2.526419791E0,3.200000000E1
2.646390624E0,3.200000000E1
2.766406770E0,3.200000000E1
2.886405207E0,3.200000000E1
3.006396353E0,3.200000000E1
3.126417707E0,3.200000000E1
3.246402082E0,3.200000000E1
3.366408332E0,3.200000000E1
3.486386978E0,3.200000000E1
3.606394270E0,3.200000000E1
3.726407811E0,3.200000000E1
3.846410936E0,3.200000000E1
3.966390624E0,3.200000000E1
4.086396353E0,3.200000000E1
4.206409374E0,3.200000000E1
4.326419270E0,3.200000000E1
4.446391666E0,3.200000000E1
4.566395832E0,3.200000000E1
4.686423957E0,3.200000000E1
4.806419270E0,3.200000000E1
4.926384374E0,3.200000000E1
5.046404686E0,3.200000000E1
5.166413540E0,3.200000000E1
5.286443228E0,3.200000000E1
5.406398436E0,3.200000000E1
5.526410415E0,3.200000000E1
5.646410415E0,3.200000000E1
5.766416145E0,3.200000000E1
5.886396353E0,3.200000000E1
6.006416144E0,3.200000000E1
6.126406769E0,3.400000000E1
6.246408853E0,3.400000000E1
6.366394790E0,3.400000000E1
6.486407290E0,3.200000000E1
6.606416665E0,3.200000000E1
6.726392707E0,3.200000000E1
6.846398436E0,3.200000000E1
6.966404686E0,3.200000000E1
7.086422394E0,3.200000000E1
7.206391144E0,3.200000000E1
7.326428123E0,3.200000000E1
7.446411457E0,3.200000000E1
7.566420311E0,3.200000000E1
7.686397394E0,3.200000000E1
7.806433332E0,3.200000000E1
7.926406248E0,3.200000000E1
8.046416665E0,3.200000000E1
8.166390102E0,3.200000000E1
8.286398436E0,3.200000000E1
8.406406769E0,3.200000000E1
8.526414582E0,3.200000000E1
8.646395832E0,3.200000000E1
8.766410936E0,3.200000000E1
8.886417186E0,3.200000000E1
9.006422394E0,3.200000000E1
9.126391665E0,3.200000000E1
9.246520311E0,3.000000000E1
9.366426561E0,3.200000000E1
9.486436456E0,3.000000000E1
9.606393227E0,3.200000000E1
9.726406769E0,3.200000000E1
9.846408852E0,3.200000000E1
9.966391665E0,3.200000000E1
1.008639375E1,3.200000000E1
1.020640833E1,3.200000000E1
1.032641614E1,3.200000000E1
1.044639687E1,3.200000000E1
1.056639271E1,3.200000000E1
1.068640156E1,3.200000000E1
1.080642083E1,3.200000000E1
1.092640833E1,3.200000000E1
1.104640364E1,3.200000000E1
1.116641042E1,3.400000000E1
1.128641823E1,3.400000000E1
1.140640000E1,3.400000000E1
1.152641458E1,3.200000000E1
1.164641771E1,3.200000000E1
1.176641354E1,3.200000000E1
1.188639166E1,3.200000000E1
1.200640000E1,3.200000000E1
1.212655364E1,3.200000000E1
1.224641562E1,3.200000000E1
1.236639687E1,3.200000000E1
1.248643437E1,3.200000000E1
1.260641302E1,3.200000000E1
1.272638854E1,3.200000000E1
1.284639323E1,3.200000000E1
1.296640156E1,3.200000000E1
1.308641302E1,3.200000000E1
1.320639375E1,3.200000000E1
1.332640521E1,3.400000000E1
1.344640573E1,3.400000000E1
1.356641458E1,3.400000000E1
1.368641198E1,3.400000000E1
1.380640468E1,3.400000000E1
1.392640416E1,3.400000000E1
1.404642031E1,3.400000000E1
1.416638802E1,3.400000000E1
1.428639687E1,3.400000000E1
1.440641562E1,3.400000000E1
1.452642708E1,3.400000000E1
1.464639844E1,3.400000000E1
1.476639583E1,3.400000000E1
1.488641198E1,3.200000000E1
1.500642812E1,3.200000000E1
1.512639844E1,3.200000000E1
1.524640781E1,3.200000000E1
1.536640937E1,3.200000000E1
1.548654427E1,3.200000000E1
1.560640468E1,3.200000000E1
1.572640416E1,3.200000000E1
1.584641458E1,3.200000000E1
1.596639375E1,3.200000000E1
1.608640052E1,3.200000000E1
1.620641198E1,3.200000000E1
1.632642916E1,3.200000000E1
1.644638854E1,3.200000000E1
1.656640781E1,3.200000000E1
1.668641041E1,3.200000000E1
1.680641718E1,3.200000000E1
1.692639687E1,3.200000000E1
1.704640052E1,3.200000000E1
1.716642812E1,3.200000000E1
1.728641302E1,3.200000000E1
1.740639166E1,3.200000000E1
1.752640000E1,3.200000000E1
1.764640520E1,3.200000000E1
1.776641823E1,3.200000000E1
1.788639687E1,3.200000000E1
1.800640677E1,3.200000000E1
1.812641198E1,3.200000000E1
1.824641823E1,3.000000000E1
1.836639427E1,3.000000000E1
1.848639583E1,3.000000000E1
1.860640416E1,3.000000000E1
1.872642812E1,3.200000000E1
1.884640520E1,3.200000000E1
1.896640364E1,3.200000000E1
1.908641718E1,3.200000000E1
1.920639843E1,3.000000000E1
1.932640208E1,3.000000000E1
1.944642239E1,3.000000000E1
1.956641354E1,3.000000000E1
1.968638229E1,3.000000000E1
1.980639896E1,3.000000000E1
1.992641198E1,3.000000000E1
2.004641302E1,3.000000000E1
2.016640156E1,3.000000000E1
2.028642812E1,3.000000000E1
2.040640729E1,3.200000000E1
2.052641406E1,3.200000000E1
2.064639062E1,3.200000000E1
2.076641041E1,3.200000000E1
2.088640729E1,3.000000000E1
2.100653958E1,3.000000000E1
2.112639896E1,3.200000000E1
2.124640625E1,3.200000000E1
2.136641041E1,3.200000000E1
