"Time (s)","Illuminance (lx)"
0.000000000E0,1.005000000E3
1.289145830E-1,1.001000000E3
2.438489580E-1,1.001000000E3
3.638604170E-1,1.012000000E3
4.838656250E-1,1.003000000E3
6.038380210E-1,9.990000000E2
7.238755210E-1,1.010000000E3
8.438635410E-1,9.970000000E2
9.638635410E-1,1.010000000E3
1.083847396E0,1.007000000E3
1.203856771E0,9.970000000E2
1.323856250E0,1.008000000E3
1.443870833E0,1.007000000E3
1.563842708E0,1.005000000E3
1.683849479E0,1.007000000E3
1.803870312E0,9.950000000E2
1.923870312E0,1.005000000E3
2.043841145E0,1.008000000E3
2.163846354E0,9.970000000E2
2.283876041E0,1.010000000E3
2.403864583E0,9.970000000E2
2.523841145E0,1.001000000E3
2.643851041E0,1.010000000E3
2.763870312E0,9.990000000E2
2.883872916E0,1.001000000E3
3.003968749E0,1.001000000E3
3.123859895E0,1.001000000E3
3.243884895E0,1.012000000E3
3.363846874E0,1.003000000E3
3.483856770E0,9.990000000E2
3.603861458E0,1.010000000E3
3.723867187E0,9.990000000E2
3.843858853E0,1.010000000E3
3.963863541E0,1.007000000E3
4.083864583E0,9.990000000E2
4.203867187E0,1.010000000E3
4.323846874E0,1.008000000E3
4.443856770E0,1.007000000E3
4.563856770E0,1.008000000E3
4.683867708E0,9.970000000E2
4.803845832E0,1.005000000E3
4.923848957E0,1.010000000E3
5.043867707E0,9.970000000E2
5.163873437E0,1.005000000E3
5.283847395E0,9.990000000E2
5.403888020E0,1.003000000E3
5.523867187E0,1.012000000E3
5.643867707E0,9.990000000E2
5.763843228E0,1.001000000E3
5.883851562E0,1.012000000E3
6.003861457E0,1.001000000E3
6.123868749E0,1.012000000E3
6.243846353E0,1.003000000E3
6.363852603E0,1.001000000E3
6.483871353E0,1.012000000E3
6.603845832E0,1.005000000E3
6.723845832E0,1.012000000E3
6.843859895E0,1.007000000E3
6.963887499E0,9.990000000E2
7.083840624E0,1.008000000E3
7.203844270E0,1.007000000E3
7.323850520E0,9.970000000E2
7.443860936E0,1.007000000E3
7.563851561E0,9.950000000E2
7.683860936E0,1.005000000E3
7.803866145E0,1.008000000E3
7.923881770E0,9.970000000E2
8.043968749E0,1.005000000E3
8.163865103E0,9.990000000E2
8.283857290E0,1.003000000E3
8.403879165E0,1.012000000E3
8.523868749E0,9.990000000E2
8.643855728E0,1.001000000E3
8.763864582E0,1.010000000E3
8.883877082E0,9.990000000E2
9.003965624E0,1.010000000E3
9.124010936E0,1.003000000E3
9.243859894E0,9.970000000E2
9.363844269E0,1.008000000E3
9.483847394E0,1.003000000E3
9.603856248E0,1.007000000E3
9.723871353E0,1.003000000E3
9.843848436E0,9.930000000E2
9.963846353E0,1.005000000E3
1.008387344E1,1.005000000E3
1.020386094E1,9.930000000E2
1.032384687E1,1.003000000E3
1.044384583E1,9.930000000E2
1.056386302E1,1.001000000E3
1.068401458E1,1.008000000E3
1.080385573E1,9.950000000E2
1.092385260E1,1.001000000E3
1.104385260E1,1.008000000E3
1.116386198E1,9.970000000E2
1.128385000E1,1.008000000E3
1.140385469E1,9.970000000E2
1.152386458E1,9.970000000E2
1.164389166E1,1.007000000E3
1.176384792E1,9.990000000E2
1.188385104E1,1.007000000E3
1.200386354E1,1.001000000E3
1.212386562E1,9.930000000E2
1.224384896E1,1.005000000E3
1.236397552E1,1.003000000E3
1.248385833E1,9.930000000E2
1.260384114E1,1.005000000E3
1.272384687E1,9.930000000E2
1.284385156E1,1.003000000E3
1.296385729E1,1.007000000E3
1.308384479E1,9.950000000E2
1.320386354E1,1.001000000E3
1.332385937E1,9.950000000E2
1.344399010E1,9.990000000E2
1.356384062E1,1.008000000E3
1.368385416E1,9.970000000E2
1.380385573E1,9.970000000E2
1.392387291E1,1.008000000E3
1.404384271E1,9.950000000E2
1.416385781E1,1.007000000E3
1.428385833E1,9.990000000E2
1.440386979E1,9.930000000E2
1.452384583E1,1.005000000E3
1.464384791E1,9.990000000E2
1.476387864E1,1.003000000E3
1.488387291E1,1.001000000E3
1.500385104E1,9.910000000E2
1.512384844E1,1.003000000E3
1.524385521E1,1.005000000E3
1.536401614E1,9.950000000E2
1.548399010E1,1.001000000E3
1.560386250E1,9.950000000E2
1.572385989E1,1.001000000E3
1.584385989E1,1.008000000E3
1.596384531E1,9.970000000E2
1.608385208E1,9.990000000E2
1.620386198E1,1.010000000E3
1.632386823E1,9.990000000E2
1.644384583E1,1.010000000E3
1.656385416E1,1.003000000E3
1.668386718E1,9.990000000E2
1.680385260E1,1.010000000E3
1.692399791E1,1.005000000E3
1.704385521E1,1.008000000E3
1.716386146E1,1.005000000E3
1.728385312E1,9.970000000E2
1.740385052E1,1.007000000E3
1.752385625E1,1.007000000E3
1.764386510E1,9.950000000E2
1.776386198E1,1.007000000E3
1.788386666E1,9.950000000E2
1.800385312E1,1.001000000E3
1.812386927E1,1.008000000E3
1.824383802E1,9.970000000E2
1.836385729E1,9.990000000E2
1.848386406E1,9.970000000E2
1.860386562E1,9.970000000E2
1.872384427E1,1.008000000E3
1.884385573E1,9.990000000E2
1.896385989E1,9.970000000E2
1.908383646E1,1.008000000E3
1.920385208E1,9.970000000E2
1.932384843E1,1.008000000E3
1.944388229E1,1.007000000E3
1.956384062E1,9.970000000E2
1.968386354E1,1.007000000E3
1.980385781E1,1.010000000E3
1.992386979E1,9.990000000E2
2.004384166E1,1.012000000E3
2.016384791E1,9.990000000E2
2.028386354E1,1.005000000E3
2.040401146E1,1.012000000E3
2.052384166E1,1.001000000E3
2.064385208E1,1.003000000E3
2.076386198E1,1.003000000E3
2.088387083E1,9.990000000E2
2.100386198E1,1.010000000E3
2.112385416E1,1.003000000E3
2.124385729E1,9.970000000E2
2.136386875E1,1.008000000E3
2.148398750E1,9.950000000E2
2.160386302E1,1.007000000E3
2.172386718E1,1.007000000E3
2.184386770E1,9.970000000E2
2.196384843E1,1.005000000E3
2.208385520E1,1.008000000E3
2.220385781E1,1.003000000E3
2.232383385E1,1.010000000E3
