"Time (s)","Illuminance (lx)"
0.000000000E0,9.000000000E0
1.318968750E-1,9.000000000E0
2.478093750E-1,9.000000000E0
3.679093750E-1,9.000000000E0
4.878296870E-1,9.000000000E0
6.079286450E-1,9.000000000E0
7.278151040E-1,9.000000000E0
8.479666660E-1,9.000000000E0
9.678328120E-1,9.000000000E0
1.087803124E0,9.000000000E0
1.207961979E0,9.000000000E0
1.327937499E0,9.000000000E0
1.447821874E0,9.000000000E0
1.567810416E0,9.000000000E0
1.687931249E0,9.000000000E0
1.807822395E0,9.000000000E0
1.927821874E0,9.000000000E0
2.047803645E0,9.000000000E0
2.167914583E0,9.000000000E0
2.287942187E0,9.000000000E0
2.407833853E0,7.000000000E0
2.527809895E0,7.000000000E0
2.647822916E0,7.000000000E0
2.767847916E0,7.000000000E0
2.887974999E0,7.000000000E0
3.007974478E0,7.000000000E0
3.127827082E0,7.000000000E0
3.247829166E0,7.000000000E0
3.367825520E0,7.000000000E0
3.487805728E0,7.000000000E0
3.607823957E0,9.000000000E0
3.727821874E0,9.000000000E0
3.847805728E0,9.000000000E0
3.967804687E0,9.000000000E0
4.087815624E0,9.000000000E0
4.207949999E0,9.000000000E0
4.327821874E0,9.000000000E0
4.447808853E0,7.000000000E0
4.567820311E0,9.000000000E0
4.687836457E0,9.000000000E0
4.807811457E0,7.000000000E0
4.927817707E0,7.000000000E0
5.047817707E0,7.000000000E0
5.167859895E0,7.000000000E0
5.287803124E0,7.000000000E0
5.407822915E0,7.000000000E0
5.527818749E0,7.000000000E0
5.647830728E0,7.000000000E0
5.767810936E0,7.000000000E0
5.887830728E0,7.000000000E0
6.007823957E0,7.000000000E0
6.127824999E0,7.000000000E0
6.247810415E0,7.000000000E0
6.367810936E0,9.000000000E0
6.487819790E0,9.000000000E0
6.607825519E0,9.000000000E0
6.727806249E0,9.000000000E0
6.847957290E0,9.000000000E0
6.967821874E0,7.000000000E0
7.087794790E0,7.000000000E0
7.207814582E0,7.000000000E0
7.327932290E0,9.000000000E0
7.447970832E0,7.000000000E0
7.567808853E0,7.000000000E0
7.687940623E0,9.000000000E0
7.807972915E0,9.000000000E0
7.927821873E0,9.000000000E0
8.047797915E0,9.000000000E0
8.167830207E0,1.100000000E1
8.287823436E0,1.100000000E1
8.407835936E0,1.100000000E1
8.527807290E0,1.100000000E1
8.647899477E0,1.100000000E1
8.767818227E0,1.100000000E1
8.887833852E0,1.100000000E1
9.007829165E0,1.100000000E1
9.127809373E0,1.100000000E1
9.247823436E0,1.100000000E1
9.367825519E0,1.100000000E1
9.487804165E0,1.100000000E1
9.607813019E0,1.100000000E1
9.727819269E0,1.100000000E1
9.847826561E0,1.100000000E1
9.967803123E0,1.100000000E1
1.008781042E1,1.100000000E1
1.020793698E1,1.100000000E1
1.032780833E1,1.100000000E1
1.044780677E1,1.100000000E1
1.056783489E1,1.300000000E1
1.068783021E1,1.300000000E1
1.080792292E1,1.300000000E1
1.092780833E1,1.300000000E1
1.104781666E1,1.500000000E1
1.116786458E1,1.500000000E1
1.128780104E1,1.500000000E1
1.140792708E1,1.500000000E1
1.152781979E1,1.500000000E1
1.164783385E1,1.500000000E1
1.176780364E1,1.700000000E1
1.188781562E1,1.900000000E1
1.200781771E1,1.900000000E1
1.212784844E1,1.900000000E1
1.224780312E1,2.000000000E1
1.236783177E1,2.000000000E1
1.248783021E1,2.000000000E1
1.260782396E1,2.000000000E1
1.272780260E1,2.000000000E1
1.284780833E1,2.200000000E1
1.296782656E1,2.200000000E1
1.308782760E1,2.200000000E1
1.320781041E1,2.400000000E1
1.332782239E1,2.400000000E1
1.344785000E1,2.400000000E1
1.356779948E1,2.600000000E1
1.368784271E1,2.600000000E1
1.380783541E1,2.600000000E1
1.392782396E1,2.600000000E1
1.404779948E1,2.600000000E1
1.416781146E1,2.600000000E1
1.428782239E1,2.800000000E1
1.440783229E1,2.800000000E1
1.452781666E1,2.800000000E1
1.464781302E1,2.800000000E1
1.476781875E1,3.000000000E1
1.488783073E1,3.200000000E1
1.500780885E1,3.200000000E1
1.512782864E1,3.400000000E1
1.524785625E1,3.400000000E1
1.536784583E1,3.600000000E1
1.548782239E1,3.600000000E1
1.560782916E1,3.800000000E1
1.572782291E1,3.600000000E1
1.584782968E1,3.600000000E1
1.596780573E1,3.800000000E1
1.608781198E1,3.800000000E1
1.620796979E1,3.900000000E1
1.632783125E1,3.900000000E1
1.644781250E1,3.900000000E1
1.656782239E1,4.100000000E1
1.668783020E1,4.100000000E1
1.680783125E1,4.100000000E1
1.692794791E1,4.100000000E1
1.704782448E1,4.300000000E1
1.716782968E1,4.500000000E1
1.728780208E1,4.500000000E1
1.740781510E1,4.700000000E1
1.752782083E1,4.900000000E1
1.764782239E1,5.100000000E1
1.776792812E1,5.500000000E1
1.788795781E1,5.700000000E1
1.800782343E1,5.800000000E1
