"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.721002968E1,3.481931984E-1,-9.651670605E-2,9.773843735E-2
2.723003177E1,3.310889602E-1,-1.038470939E-1,4.520402849E-2
2.725003750E1,3.384193480E-1,-1.136209369E-1,-3.420845419E-2
2.727004374E1,3.005456924E-1,-1.380555481E-1,-8.552113175E-2
2.730003541E1,2.736676335E-1,-1.624901593E-1,-1.453859210E-1
2.732003854E1,2.577851415E-1,-1.563815027E-1,-2.076941878E-1
2.735004791E1,2.015855312E-1,-1.197295859E-1,-2.602286041E-1
2.738002916E1,1.612684280E-1,-1.001819000E-1,-2.846632004E-1
2.741016927E1,1.038470939E-1,-1.001819000E-1,-3.371976018E-1
2.744004687E1,6.108652428E-2,-1.038470939E-1,-3.640756905E-1
2.747003281E1,2.443460934E-2,-9.651670605E-2,-3.359758854E-1
2.750004479E1,-1.710422710E-2,-6.963863969E-2,-3.237585723E-1
2.753003333E1,-5.497787148E-2,-5.009094998E-2,-3.335324228E-1
2.756005052E1,-6.597344577E-2,-2.932153270E-2,-2.492330223E-1
2.759004791E1,-5.742133409E-2,-3.420845419E-2,-2.101376504E-1
2.761006145E1,-5.131268129E-2,-5.619960278E-2,-1.747074574E-1
2.763015885E1,-4.764748737E-2,-4.031710699E-2,-1.417207420E-1
2.766003385E1,-3.787364438E-2,-2.809980139E-2,-1.001819000E-1
2.769003281E1,-4.031710699E-2,-3.176499158E-2,-9.896016866E-2
2.771013437E1,0.000000000E0,0.000000000E0,0.000000000E0
2.774004322E1,4.031710699E-2,-1.123992056E-1,6.475171447E-2
2.776004531E1,4.520402849E-2,-4.031710699E-2,9.407325089E-2
2.778004948E1,5.619960278E-2,-3.543018550E-2,1.404990107E-1
2.781004427E1,4.153883830E-2,-1.832595654E-2,1.282816976E-1
2.784003854E1,4.764748737E-2,2.443460934E-2,1.832595766E-1
2.787006145E1,5.253441259E-2,5.253441259E-2,2.235766798E-1
2.790005729E1,5.742133409E-2,6.352998316E-2,2.687807083E-1
2.793001770E1,5.986479297E-2,5.742133409E-2,2.687807083E-1
2.795003750E1,6.230825558E-2,6.963863969E-2,2.651155293E-1
2.798004427E1,5.131268129E-2,1.148426682E-1,2.968805134E-1
2.800007343E1,2.809980139E-2,1.258382350E-1,3.164281845E-1
2.803004010E1,-1.588249579E-2,8.796459436E-2,2.785545588E-1
2.805018489E1,-4.886921868E-2,8.307767659E-2,2.528982162E-1
2.808003593E1,-9.040805697E-2,8.918632567E-2,2.516764700E-1
2.811003229E1,-1.233947799E-1,9.407325089E-2,2.211332172E-1
2.813004062E1,-1.490511149E-1,9.773843735E-2,1.881465018E-1
2.815004479E1,-1.759291887E-1,8.429940045E-2,1.490511149E-1
2.817004635E1,-2.125810981E-1,7.696902007E-2,1.270599663E-1
2.820004010E1,-2.809980214E-1,7.330382615E-2,8.796459436E-2
2.823003593E1,-3.017674387E-1,7.696902007E-2,1.221730467E-2
2.826007031E1,-2.968805134E-1,7.696902007E-2,-5.375614017E-2
2.829004843E1,-3.054326177E-1,6.841690838E-2,-1.075122803E-1
2.832004427E1,-2.907718420E-1,5.986479297E-2,-1.710422635E-1
2.835005624E1,-2.712241709E-1,4.642575979E-2,-2.162462920E-1
2.838005208E1,-2.712241709E-1,4.031710699E-2,-2.431243658E-1
2.841003281E1,-2.382374406E-1,3.543018550E-2,-2.871066630E-1
2.843004166E1,-1.905899495E-1,2.932153270E-2,-2.822197378E-1
2.845015156E1,-1.734857261E-1,2.687807009E-2,-3.127630055E-1
2.848003229E1,-1.392772794E-1,2.199114859E-2,-2.993239760E-1
2.850004166E1,-1.099557430E-1,1.710422710E-2,-2.907718420E-1
2.852006770E1,-9.162978828E-2,1.588249579E-2,-2.968805134E-1
2.855001822E1,-6.108652428E-2,2.687807009E-2,-2.846632004E-1
2.857003906E1,-2.932153270E-2,5.131268129E-2,-2.638937831E-1
2.860004322E1,3.787364438E-2,5.864306539E-2,-2.101376504E-1
2.862016822E1,7.941248268E-2,5.009094998E-2,-2.003637999E-1
2.865005416E1,1.123992056E-1,3.054326214E-2,-1.295034289E-1
2.867017604E1,1.441642046E-1,2.687807009E-2,-1.221730486E-1
2.870002760E1,1.869247705E-1,2.199114859E-2,-8.796459436E-2
2.873003541E1,2.052507252E-1,1.588249579E-2,-2.687807009E-2
2.876003645E1,2.626720667E-1,-1.221730490E-3,6.475171447E-2
2.878004635E1,2.638937831E-1,-2.687807009E-2,9.407325089E-2
2.881002291E1,2.614503205E-1,-5.497787148E-2,1.197295859E-1
2.883004895E1,2.724458873E-1,-7.086037099E-2,1.576032341E-1
2.885017447E1,2.480112910E-1,-6.597344577E-2,1.954768747E-1
2.888005000E1,2.748893499E-1,-6.597344577E-2,2.590068579E-1
2.891006406E1,3.787364662E-1,-7.086037099E-2,2.712241709E-1
2.894004270E1,4.422664344E-1,-8.918632567E-2,2.907718420E-1
2.897003541E1,5.167919993E-1,-9.162978828E-2,3.164281845E-1
2.900006458E1,5.827654600E-1,-9.162978828E-2,3.188716471E-1
2.903002552E1,6.536257863E-1,-6.963863969E-2,2.956587672E-1
2.905003333E1,6.890559793E-1,-8.796459436E-2,2.993239760E-1
2.908004531E1,8.038986921E-1,-1.001819000E-1,2.809980214E-1
2.910004791E1,8.698720932E-1,-8.918632567E-2,2.504547536E-1
2.913003333E1,7.550294399E-1,-7.941248268E-2,2.052507252E-1
2.916003854E1,6.157521605E-1,-5.986479297E-2,1.673770845E-1
2.919004270E1,5.412266254E-1,-4.642575979E-2,1.282816976E-1
2.922005468E1,4.251621962E-1,-3.298672289E-2,5.619960278E-2
2.925003802E1,2.809980214E-1,-1.954768784E-2,-7.330383174E-3
2.928004531E1,1.820378453E-1,-1.099557430E-2,-5.986479297E-2
2.930005312E1,1.258382350E-1,-6.108652335E-3,-9.040805697E-2
2.933004114E1,1.136209369E-1,-4.886921961E-3,-1.319468915E-1
2.936004739E1,1.136209369E-1,-4.886921961E-3,-1.734857261E-1
2.939005000E1,1.270599663E-1,-4.886921961E-3,-2.101376504E-1
2.942005104E1,1.062905490E-1,-2.809980139E-2,-2.076941878E-1
2.945003854E1,1.233947799E-1,-2.321287990E-2,-2.394591719E-1
2.948001562E1,1.490511149E-1,-1.832595654E-2,-2.516764700E-1
2.950004791E1,1.600466967E-1,-1.466076635E-2,-2.577851415E-1
2.953003697E1,1.893682331E-1,-1.099557430E-2,-2.370157093E-1
2.956006979E1,2.076941878E-1,7.330383174E-3,-2.211332172E-1
2.959004427E1,2.333505303E-1,2.076941915E-2,-2.064724565E-1
2.961004583E1,1.954768747E-1,3.176499158E-2,-2.003637999E-1
2.964004895E1,1.111774743E-1,3.298672289E-2,-1.514945775E-1
2.967004114E1,5.497787148E-2,3.787364438E-2,-1.185078546E-1
2.969005468E1,3.054326214E-2,3.176499158E-2,-1.026253626E-1
2.972003020E1,-3.543018550E-2,3.176499158E-2,-1.014036313E-1
2.975003645E1,-1.221730486E-1,3.909537569E-2,-4.520402849E-2
2.978004479E1,-2.162462920E-1,3.787364438E-2,2.809980139E-2
2.981003437E1,-2.431243658E-1,4.886921868E-2,7.574728876E-2
2.983003906E1,-2.809980214E-1,5.497787148E-2,1.001819000E-1
2.986003958E1,-3.420845270E-1,8.063421398E-2,1.319468915E-1
2.989002864E1,-4.312708676E-1,9.773843735E-2,1.624901593E-1
2.992003333E1,-5.375614166E-1,1.148426682E-1,2.015855312E-1
2.995004687E1,-5.534439087E-1,1.160643995E-1,2.064724565E-1
2.997020104E1,-5.216789246E-1,1.246165112E-1,2.162462920E-1
3.000021197E1,-4.728097022E-1,1.221730486E-1,2.211332172E-1
3.003003437E1,-5.009095073E-1,1.099557430E-1,2.076941878E-1
3.006003489E1,-4.886921942E-1,1.001819000E-1,1.979203373E-1
3.008005052E1,-4.447098970E-1,8.674286306E-2,1.881465018E-1
3.011003177E1,-3.335324228E-1,7.452555746E-2,1.722639948E-1
3.014003177E1,-2.406809032E-1,6.963863969E-2,1.295034289E-1
3.017003229E1,-4.398229718E-2,2.687807009E-2,5.986479297E-2
3.019003541E1,-7.330383174E-3,4.031710699E-2,1.038470939E-1
3.021007343E1,4.642575979E-2,2.443460934E-2,1.258382350E-1
3.024006041E1,1.062905490E-1,-3.787364438E-2,7.696902007E-2
3.027002187E1,2.333505303E-1,-2.687807009E-2,1.466076635E-2
3.029006406E1,3.103195429E-1,-2.687807009E-2,-1.954768784E-2
3.032004843E1,3.811798990E-1,-5.497787148E-2,-7.208210230E-2
3.034005156E1,3.909537494E-1,-6.230825558E-2,-9.529497474E-2
3.037017604E1,3.970624208E-1,-8.552113175E-2,-1.136209369E-1
3.040004739E1,4.117231667E-1,-8.918632567E-2,-1.392772794E-1
3.042021874E1,4.056145251E-1,-7.330382615E-2,-1.649336219E-1
3.045003020E1,3.860668242E-1,-6.597344577E-2,-1.771509200E-1
3.047003697E1,3.946189582E-1,-7.696902007E-2,-1.881465018E-1
3.049004479E1,3.799581826E-1,-7.696902007E-2,-1.979203373E-1
3.051004843E1,3.286454976E-1,-7.330382615E-2,-1.832595766E-1
3.054003802E1,2.614503205E-1,-6.108652428E-2,-1.795943826E-1
3.056009947E1,2.296853364E-1,-5.009094998E-2,-1.918116808E-1
3.059002812E1,1.747074574E-1,-4.520402849E-2,-1.673770845E-1
3.061003437E1,1.466076523E-1,-4.520402849E-2,-1.588249654E-1
3.063004062E1,1.429424733E-1,-4.886921868E-2,-1.417207420E-1
3.066004479E1,1.185078546E-1,-4.642575979E-2,-1.197295859E-1
3.069005520E1,5.742133409E-2,-4.153883830E-2,-8.552113175E-2
3.072001406E1,6.108652335E-3,-7.208210230E-2,-8.552113175E-2
3.074006145E1,-2.076941915E-2,-9.773843735E-2,-9.285151958E-2
3.077003750E1,0.000000000E0,0.000000000E0,0.000000000E0
3.080008437E1,0.000000000E0,0.000000000E0,0.000000000E0
3.083004374E1,-2.321287990E-2,-1.001819000E-1,8.796459436E-2
3.085004739E1,-6.108652335E-3,-8.307767659E-2,1.075122803E-1
3.088004947E1,-4.886921961E-3,-6.108652428E-2,1.429424733E-1
3.091004166E1,1.954768784E-2,-5.131268129E-2,1.453859210E-1
3.094004270E1,9.529497474E-2,-4.276056588E-2,1.942551434E-1
3.096015677E1,1.014036313E-1,-2.687807009E-2,1.783726513E-1
3.099006145E1,1.148426682E-1,-1.954768784E-2,1.881465018E-1
3.102003958E1,1.062905490E-1,-1.466076635E-2,2.089159191E-1
3.105003229E1,9.407325089E-2,-1.221730467E-2,2.150245607E-1
3.107003802E1,8.918632567E-2,2.443460980E-3,1.881465018E-1
3.110003802E1,1.111774743E-1,1.466076635E-2,1.905899495E-1
3.112005052E1,1.233947799E-1,2.565634064E-2,1.820378453E-1
3.114005208E1,1.429424733E-1,3.420845419E-2,1.832595766E-1
3.117002552E1,1.453859210E-1,5.986479297E-2,1.356120855E-1
3.119004635E1,1.368338168E-1,6.475171447E-2,1.160643995E-1
3.122005312E1,4.153883830E-2,9.651670605E-2,8.674286306E-2
3.125022447E1,3.665191587E-3,1.160643995E-1,6.963863969E-2
3.128004739E1,-1.343903504E-2,1.270599663E-1,4.764748737E-2
3.131004895E1,-8.063421398E-2,1.075122803E-1,-1.710422710E-2
3.134002291E1,-9.285151958E-2,8.185594529E-2,-5.742133409E-2
3.136005000E1,-1.527163088E-1,7.208210230E-2,-8.918632567E-2
3.138005208E1,-2.101376504E-1,6.108652428E-2,-1.123992056E-1
3.141017031E1,-2.663372457E-1,5.253441259E-2,-1.356120855E-1
3.144004843E1,-2.932153046E-1,4.520402849E-2,-1.698205322E-1
3.147003802E1,-3.005456924E-1,3.787364438E-2,-1.905899495E-1
3.149016041E1,-3.286454976E-1,3.298672289E-2,-1.771509200E-1
3.152003385E1,-3.433062732E-1,2.809980139E-2,-2.028072625E-1
3.155003072E1,-2.907718420E-1,1.099557430E-2,-1.795943826E-1
3.158015781E1,-3.029891551E-1,0.000000000E0,-1.759291887E-1
3.161004218E1,-3.298672438E-1,2.443460980E-3,-1.795943826E-1
3.164006354E1,-2.822197378E-1,3.665191587E-3,-1.563815027E-1
3.167005312E1,-2.883284092E-1,1.832595654E-2,-1.429424733E-1
3.170004479E1,-2.602286041E-1,1.588249579E-2,-1.062905490E-1
3.173005520E1,-2.186897546E-1,1.466076635E-2,-8.429940045E-2
3.176004531E1,-1.637118906E-1,2.565634064E-2,-5.619960278E-2
3.179002812E1,-1.258382350E-1,3.298672289E-2,-4.153883830E-2
3.181003906E1,-1.038470939E-1,3.054326214E-2,-2.687807009E-2
3.184004218E1,0.000000000E0,0.000000000E0,0.000000000E0
3.187003645E1,6.230825558E-2,5.375614017E-2,7.452555746E-2
3.190007500E1,1.612684280E-1,4.031710699E-2,1.246165112E-1
3.193005208E1,1.942551434E-1,4.886921868E-2,1.221730486E-1
3.196001874E1,2.577851415E-1,3.787364438E-2,1.563815027E-1
3.198003958E1,2.883284092E-1,2.809980139E-2,1.600466967E-1
3.201003958E1,3.139847219E-1,1.954768784E-2,1.881465018E-1
3.203005468E1,3.029891551E-1,1.466076635E-2,1.905899495E-1
3.205006614E1,3.176499307E-1,8.552113548E-3,1.979203373E-1
3.208002395E1,3.176499307E-1,4.886921961E-3,1.979203373E-1
3.211008906E1,3.286454976E-1,-2.076941915E-2,1.966986060E-1
3.214002916E1,2.932153046E-1,-5.253441259E-2,1.832595766E-1
3.216003697E1,2.809980214E-1,-6.841690838E-2,1.832595766E-1
3.218004791E1,2.724458873E-1,-8.429940045E-2,1.685988009E-1
3.221004322E1,2.333505303E-1,-8.429940045E-2,1.331686229E-1
3.223015937E1,2.223549485E-1,-6.963863969E-2,1.136209369E-1
3.226027864E1,2.052507252E-1,-7.574728876E-2,8.674286306E-2
3.229007083E1,1.429424733E-1,-7.819075137E-2,6.352998316E-2
3.232004531E1,9.773843735E-2,-8.796459436E-2,3.543018550E-2
3.235004322E1,5.986479297E-2,-8.918632567E-2,-2.932153270E-2
3.238004427E1,1.466076635E-2,-6.719517708E-2,-8.796459436E-2
3.241015000E1,-1.710422710E-2,-4.276056588E-2,-1.282816976E-1
3.244002708E1,-2.199114859E-2,-2.809980139E-2,-1.050688252E-1
3.246005156E1,-2.809980139E-2,-3.543018550E-2,-1.282816976E-1
3.249004427E1,-6.597344577E-2,-4.031710699E-2,-1.747074574E-1
3.251010781E1,-9.285151958E-2,-2.687807009E-2,-1.649336219E-1
3.254005312E1,-8.063421398E-2,-1.710422710E-2,-1.722639948E-1
3.257003645E1,-5.497787148E-2,-1.099557430E-2,-1.649336219E-1
3.260004687E1,-3.543018550E-2,-4.886921961E-3,-1.710422635E-1
3.263004895E1,-3.787364438E-2,-1.466076635E-2,-1.698205322E-1
