"Frequency (Hz)","Rel. amplitude (a.u.)"
5.167941965E-1,1.000000000E0
5.167941965E-1,1.000000000E0
5.167941965E-1,9.961083621E-1
5.167941965E-1,9.922639974E-1
5.167941965E-1,9.884629996E-1
5.167941965E-1,9.847283754E-1
5.167941965E-1,9.810067995E-1
5.167941965E-1,9.791746631E-1
5.167941965E-1,9.755462708E-1
5.167941965E-1,9.737549669E-1
5.167941965E-1,9.702017422E-1
5.167941965E-1,9.684335581E-1
5.167941965E-1,9.649227029E-1
5.167941965E-1,9.631748322E-1
5.167941965E-1,9.614292371E-1
5.167941965E-1,9.596891161E-1
5.167941965E-1,9.562263182E-1
5.167941965E-1,9.545058075E-1
5.167941965E-1,9.527913012E-1
5.167941965E-1,9.510822800E-1
5.167941965E-1,9.493798803E-1
5.167941965E-1,9.460071096E-1
5.167941965E-1,9.443307097E-1
5.167941965E-1,9.410003791E-1
5.167941965E-1,9.393496485E-1
5.167941965E-1,9.377070663E-1
5.167941965E-1,9.360735033E-1
5.167941965E-1,9.328374196E-1
5.167941965E-1,9.296421973E-1
5.167941965E-1,9.280614130E-1
5.167941965E-1,9.264923799E-1
5.167941965E-1,9.233922939E-1
5.167941965E-1,9.218620862E-1
5.167941965E-1,9.203399427E-1
5.167941965E-1,9.173303992E-1
5.167941965E-1,9.158329873E-1
5.167941965E-1,9.143387147E-1
5.167941965E-1,9.128518832E-1
5.167941965E-1,9.113751129E-1
5.167941965E-1,9.084361384E-1
5.167941965E-1,9.069665991E-1
5.167941965E-1,9.054956508E-1
5.208342518E-1,8.900615523E-1
5.208342518E-1,8.886352779E-1
5.208342518E-1,8.857804241E-1
5.208342518E-1,8.829486957E-1
5.208342518E-1,8.815428186E-1
5.208342518E-1,8.787484880E-1
5.208342518E-1,8.759856347E-1
5.208342518E-1,8.746153759E-1
5.208342518E-1,8.718969832E-1
5.208342518E-1,8.705534367E-1
5.208342518E-1,8.692199043E-1
5.208342518E-1,8.665810890E-1
5.208342518E-1,8.652798085E-1
5.208342518E-1,8.639948073E-1
5.208342518E-1,8.614468879E-1
5.208342518E-1,8.601869874E-1
5.208342518E-1,8.576824639E-1
5.208342518E-1,8.564371460E-1
5.208342518E-1,8.539624924E-1
5.208342518E-1,8.527313343E-1
5.208342518E-1,8.515014430E-1
5.208342518E-1,8.490385264E-1
5.208342518E-1,8.478005717E-1
5.208342518E-1,8.465707441E-1
5.208342518E-1,8.441162598E-1
5.208342518E-1,8.416715320E-1
5.208342518E-1,8.404552485E-1
5.208342518E-1,8.380346284E-1
5.208342518E-1,8.356316610E-1
