"Time shift (s)","Autocorrelation of sum"
0.000000000E0,2.088039664E0
2.998437500E-2,9.572437914E-1
6.001354100E-2,5.933344287E-1
8.999687500E-2,6.671162669E-1
1.200015620E-1,4.435760933E-1
1.500031250E-1,4.963082849E-1
1.800026040E-1,4.893502927E-1
2.100041660E-1,2.702347991E-2
2.400010410E-1,4.047118146E-1
2.699750000E-1,3.114642751E-1
2.899953120E-1,5.778827863E-2
3.200114580E-1,-1.846200944E-1
3.499989580E-1,-3.676447729E-1
3.800005210E-1,-4.624195316E-1
4.099713540E-1,-2.483334761E-1
4.299921870E-1,-2.313609241E-1
4.500010410E-1,-2.245319755E-1
4.799828120E-1,-2.257359845E-1
5.099906250E-1,-2.348906003E-1
5.400026040E-1,-2.695502051E-1
5.700041660E-1,-2.842425189E-1
6.000072910E-1,-2.868766356E-1
6.299916660E-1,-3.008962965E-1
6.600052080E-1,-3.016409469E-1
6.899901040E-1,-2.956493442E-1
7.100046870E-1,-2.851640474E-1
7.399875000E-1,-2.647205468E-1
7.699942700E-1,-2.577890100E-1
7.999958330E-1,-2.471737511E-1
8.299989580E-1,-2.330699397E-1
8.501567700E-1,-2.166230445E-1
8.799937500E-1,-1.964673123E-1
9.099968750E-1,-1.759652291E-1
9.400140620E-1,-1.576370092E-1
9.700161450E-1,-1.399843593E-1
1.000011979E0,-1.237272793E-1
1.029968750E0,-1.042425451E-1
1.049997916E0,-8.250735794E-2
1.079993750E0,-6.161818583E-2
1.100009375E0,-4.901296407E-2
1.129995312E0,-3.602986899E-2
1.159991145E0,-1.989811019E-2
1.179996875E0,-5.651918475E-3
1.210009375E0,4.825366269E-3
1.230011979E0,1.015007137E-2
1.259986458E0,-4.998690804E-4
1.280016145E0,-1.225229356E-2
1.309998437E0,-1.752522211E-2
1.330004687E0,-3.167680833E-2
1.360014062E0,-5.645929777E-2
1.389991145E0,-7.123210224E-2
1.420001041E0,-8.618539281E-2
1.450004687E0,-8.078274977E-2
1.479977083E0,-6.839364380E-2
1.500006250E0,-5.161672055E-2
1.529998437E0,6.424949918E-3
1.560000520E0,9.043109557E-2
1.580002604E0,1.491091098E-1
1.610002083E0,2.076061018E-1
1.639991666E0,2.773828761E-1
1.669996354E0,3.474410519E-1
1.699999479E0,4.088240359E-1
1.729998437E0,4.650052930E-1
1.750006250E0,5.148743674E-1
1.779989583E0,5.562169680E-1
1.809990625E0,5.653904446E-1
1.840003124E0,5.413778833E-1
1.869995312E0,4.929103266E-1
1.900005729E0,4.262740885E-1
1.929999999E0,3.566016469E-1
1.959982291E0,2.861870592E-1
1.979995312E0,2.168902855E-1
2.010024999E0,1.462550379E-1
2.040001562E0,9.164153926E-2
2.070158333E0,4.268397557E-2
2.099976562E0,-6.873916996E-3
2.120003124E0,-5.232210248E-2
2.140010416E0,-8.704270030E-2
2.169993229E0,-1.213928311E-1
2.199990104E0,-1.530389221E-1
2.229995312E0,-1.827201278E-1
2.259992708E0,-2.088019620E-1
2.289993229E0,-2.324417083E-1
2.319996874E0,-2.479074110E-1
2.350002604E0,-2.655739043E-1
2.380004687E0,-2.783350747E-1
2.400019270E0,-2.888159095E-1
2.429996874E0,-2.984351358E-1
2.460006249E0,-3.065759018E-1
2.489998437E0,-3.124413310E-1
2.520005729E0,-3.183822509E-1
2.550011458E0,-3.195977099E-1
2.579974479E0,-3.187702350E-1
2.600004166E0,-3.159465820E-1
2.629994270E0,-3.088870391E-1
2.660041666E0,-3.002545058E-1
2.690015624E0,-2.877367275E-1
2.719970312E0,-2.724089317E-1
2.739997395E0,-2.535145666E-1
2.769996354E0,-2.280051987E-1
2.790125520E0,-2.007611458E-1
2.819998437E0,-1.778819087E-1
2.839999999E0,-1.542073266E-1
2.859999999E0,-1.225319727E-1
2.889978124E0,-8.830506683E-2
2.910010416E0,-5.826668802E-2
2.930070833E0,-3.285349696E-2
2.960003645E0,-3.387568511E-3
2.989992708E0,3.086530391E-2
3.019997916E0,6.279067451E-2
3.050016666E0,7.694954878E-2
3.079999999E0,9.254595277E-2
3.100002603E0,1.118591075E-1
3.120121353E0,1.486545263E-1
3.150030728E0,1.786715983E-1
3.180001562E0,2.073162987E-1
3.209986978E0,2.385563938E-1
3.230113541E0,2.712338649E-1
3.259976041E0,2.959185712E-1
3.280002083E0,3.494158149E-1
3.300063020E0,4.018295748E-1
3.329996353E0,4.362596601E-1
3.359998958E0,4.400864309E-1
3.389996874E0,4.292375515E-1
3.420055208E0,4.257683198E-1
3.450006770E0,4.286323151E-1
3.480004166E0,3.916320304E-1
3.509982291E0,3.597224491E-1
3.529996874E0,3.232017290E-1
3.559998437E0,2.676883792E-1
3.589990624E0,2.106461059E-1
3.609990624E0,1.426602344E-1
3.639995833E0,6.813351878E-2
3.669991666E0,3.062547759E-3
3.689994791E0,-5.232781372E-2
3.719983333E0,-9.788599939E-2
3.749995833E0,-1.350279045E-1
3.779997916E0,-1.676495277E-1
3.809982291E0,-1.949264355E-1
3.829998958E0,-2.189382297E-1
3.859985937E0,-2.342920943E-1
3.889991145E0,-2.401770489E-1
3.919993749E0,-2.422871376E-1
3.949998958E0,-2.444355357E-1
3.979996353E0,-2.460071272E-1
4.009999999E0,-2.457077937E-1
4.039999999E0,-2.382415531E-1
4.060004166E0,-2.268266664E-1
4.090004166E0,-2.138003091E-1
4.119988541E0,-2.012246878E-1
4.139992187E0,-1.898558351E-1
4.169979687E0,-1.794733167E-1
4.189993228E0,-1.690371326E-1
4.210000520E0,-1.644848021E-1
4.240002082E0,-1.586754403E-1
4.269971874E0,-1.503879044E-1
4.290032291E0,-1.450926418E-1
4.319995312E0,-1.439869512E-1
4.350010416E0,-1.415564874E-1
4.379995312E0,-1.362644390E-1
4.409972916E0,-1.328319116E-1
4.429988541E0,-1.268859017E-1
4.459987499E0,-1.221850567E-1
4.479995312E0,-1.186399434E-1
4.509979166E0,-1.089849911E-1
4.529983332E0,-9.593908526E-2
4.549999999E0,-7.840052538E-2
4.579971874E0,-7.046355764E-2
4.600002603E0,-6.570631817E-2
4.630140103E0,-5.100798304E-2
4.660001562E0,-3.203400405E-2
4.680003645E0,-1.622649017E-2
4.709992187E0,-4.735036233E-3
4.740027603E0,9.224122161E-3
4.770007812E0,2.930755036E-2
4.799997395E0,5.830543105E-2
4.819998437E0,9.002615390E-2
4.849988541E0,1.267669003E-1
4.869998437E0,1.744842240E-1
4.899994791E0,2.195161150E-1
4.929986457E0,2.605801242E-1
4.959998437E0,2.906003912E-1
4.990049478E0,3.308209355E-1
