"Time shift (s)","Autocorrelation of sum"
0.000000000E0,1.768642738E-1
2.001373000E-2,1.760840734E-1
4.201266100E-2,1.741478357E-1
6.202599100E-2,1.711725673E-1
8.203335400E-2,1.672420191E-1
1.020516510E-1,1.623613198E-1
1.220718130E-1,1.565119615E-1
1.420925430E-1,1.496775166E-1
1.621016380E-1,1.419209673E-1
1.840962340E-1,1.333084395E-1
2.041076630E-1,1.239571791E-1
2.241211590E-1,1.139162879E-1
2.441349550E-1,1.032663173E-1
2.641563850E-1,9.210813244E-2
2.841752810E-1,8.049798618E-2
3.042017760E-1,6.848510362E-2
3.242089720E-1,5.606588045E-2
3.442227020E-1,4.331074625E-2
3.642250990E-1,3.034379069E-2
3.842418280E-1,1.733129599E-2
4.042626920E-1,4.361248205E-3
4.242776210E-1,-8.556692295E-3
4.442894840E-1,-2.143818993E-2
4.642962800E-1,-3.422790126E-2
4.843112100E-1,-4.683977928E-2
5.043208060E-1,-5.914104039E-2
5.243317690E-1,-7.104424814E-2
5.443465000E-1,-8.250190450E-2
5.643599300E-1,-9.347717430E-2
5.843782930E-1,-1.039327130E-1
6.043909230E-1,-1.138611820E-1
6.244071530E-1,-1.231922189E-1
6.444161160E-1,-1.318778204E-1
6.644300120E-1,-1.398281318E-1
6.844513090E-1,-1.469629468E-1
7.044646730E-1,-1.532078757E-1
7.244781020E-1,-1.585691799E-1
7.444865320E-1,-1.630729373E-1
7.644958950E-1,-1.667418535E-1
7.845080240E-1,-1.695088388E-1
8.045194540E-1,-1.712822608E-1
8.245384160E-1,-1.719987073E-1
8.445483800E-1,-1.716401072E-1
8.645636760E-1,-1.702529364E-1
8.845759050E-1,-1.678780812E-1
9.045986340E-1,-1.645380956E-1
9.246153290E-1,-1.601932177E-1
9.446351260E-1,-1.548615798E-1
9.646377560E-1,-1.485619917E-1
9.846450200E-1,-1.413287894E-1
1.004657684E0,-1.332050078E-1
1.024684680E0,-1.242169106E-1
1.044702976E0,-1.144398286E-1
1.064707439E0,-1.039576579E-1
1.084720302E0,-9.286292707E-2
1.104738731E0,-8.116126410E-2
1.124756227E0,-6.887443048E-2
1.144762257E0,-5.608427492E-2
1.164771187E0,-4.292953854E-2
1.184784283E0,-2.958080189E-2
1.204796447E0,-1.613718205E-2
1.224805943E0,-2.634231838E-3
1.244818740E0,1.091286221E-2
1.264827970E0,2.444590752E-2
1.284837566E0,3.784914227E-2
1.304845995E0,5.098574862E-2
1.324858890E0,6.370685338E-2
1.344875487E0,7.596146520E-2
1.364893783E0,8.768340259E-2
1.384916679E0,9.881876416E-2
1.404933608E0,1.093209822E-1
1.424946672E0,1.191623731E-1
1.444953102E0,1.282928764E-1
1.464970333E0,1.366335576E-1
1.484983029E0,1.440881315E-1
1.504999724E0,1.505612710E-1
1.525009422E0,1.560807342E-1
1.545018485E0,1.606941915E-1
1.565035715E0,1.644192308E-1
1.585051111E0,1.672321844E-1
1.605066575E0,1.690491277E-1
1.625074138E0,1.698262084E-1
1.645078500E0,1.696016990E-1
1.665093498E0,1.684196769E-1
1.685104095E0,1.663164971E-1
1.705128258E0,1.633116808E-1
1.725139322E0,1.593933676E-1
1.745151851E0,1.545677942E-1
1.765161047E0,1.488614432E-1
1.785179343E0,1.423248833E-1
1.805195540E0,1.349615821E-1
1.825206170E0,1.268255463E-1
1.846129854E0,1.179792353E-1
1.866146050E0,1.084977914E-1
1.886157314E0,9.842814446E-2
1.906181344E0,8.777018137E-2
1.926189774E0,7.653525070E-2
1.946202570E0,6.478940030E-2
1.966205567E0,5.263483585E-2
1.986221496E0,4.017462921E-2
2.006241793E0,2.749118943E-2
2.026258855E0,1.463193246E-2
2.046274251E0,1.647887754E-3
2.066286914E0,-1.139441811E-2
2.086305810E0,-2.443045276E-2
2.106320574E0,-3.737587568E-2
2.126327337E0,-5.016948185E-2
2.146330199E0,-6.271321229E-2
2.166342562E0,-7.490596075E-2
2.186361525E0,-8.664364622E-2
2.206377753E0,-9.786838769E-2
2.226389882E0,-1.085542487E-1
2.246404411E0,-1.186509505E-1
2.266422042E0,-1.280772262E-1
2.286436471E0,-1.367346987E-1
2.306448200E0,-1.445280837E-1
2.326455729E0,-1.514072415E-1
2.346464691E0,-1.573736909E-1
2.366473153E0,-1.624157187E-1
