"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.473691484E2,-1.103613600E-1,-5.078941584E-1,-3.186945245E-2
2.473911473E2,-9.631145746E-2,-4.578031898E-1,-2.637166344E-2
2.474111606E2,-7.615290582E-2,-4.089339674E-1,-2.209560573E-2
2.474311680E2,-6.149213761E-2,-3.594538867E-1,-2.331733704E-2
2.474511863E2,-3.889012709E-2,-3.050868809E-1,-3.553464264E-2
2.474712064E2,-1.750984229E-2,-2.592719793E-1,-3.736723587E-2
2.474912272E2,4.481307697E-3,-2.042941153E-1,-2.698252909E-2
2.475112363E2,2.463985980E-2,-1.529814303E-1,-1.843041554E-2
2.475332309E2,4.724187404E-2,-9.372749925E-2,-4.380514845E-3
2.475532423E2,6.434609741E-2,-3.386270627E-2,-1.965214498E-2
2.475732558E2,8.083946258E-2,1.806084253E-2,-3.125858679E-2
2.475932696E2,9.488936514E-2,7.853649557E-2,-2.453906834E-2
2.476132910E2,1.089392602E-1,1.353469640E-1,-9.267437272E-3
2.476333099E2,1.168805137E-1,2.031530142E-1,7.836789824E-3
2.476533364E2,1.223783046E-1,2.520222366E-1,4.782463890E-3
2.476733436E2,1.278760880E-1,2.941719294E-1,-1.048916765E-2
2.476933573E2,1.223783046E-1,3.405976892E-1,-2.576079778E-2
2.477133597E2,1.211565733E-1,3.931321204E-1,-1.965214498E-2
2.477333764E2,1.126044542E-1,4.499425590E-1,-2.547919052E-3
2.477533973E2,1.003871560E-1,5.024769902E-1,8.447655477E-3
2.477734122E2,8.450465649E-2,5.415723324E-1,9.058520198E-3
2.477934241E2,6.923302263E-2,5.794459581E-1,1.728137722E-3
2.478134309E2,5.090706795E-2,6.026588678E-1,-1.937053632E-3
2.478334458E2,2.952678315E-2,6.283152699E-1,6.004194263E-3
2.478534554E2,1.181169041E-2,6.490846276E-1,1.333457790E-2
2.478734664E2,-1.079032291E-2,6.753518581E-1,1.211284753E-2
2.478934811E2,-3.155974299E-2,6.997864246E-1,1.150198188E-2
2.479134946E2,-5.110742897E-2,7.229993343E-1,1.089111622E-2
2.479335129E2,-7.248771936E-2,7.260536551E-1,1.150198188E-2
2.479535255E2,-8.898106962E-2,7.309406400E-1,1.883236505E-2
2.479735418E2,-1.030309722E-1,7.260536551E-1,2.005409449E-2
2.479935507E2,-1.146374121E-1,7.211667299E-1,2.066496015E-2
2.480135646E2,-1.207460687E-1,7.107820511E-1,1.822149940E-2
2.480335859E2,-1.244112626E-1,7.058950663E-1,2.310842089E-2
2.480535993E2,-1.244112626E-1,6.973429918E-1,2.066496015E-2
2.480736127E2,-1.213569343E-1,6.765735745E-1,2.433015220E-2
2.480936212E2,-1.128048152E-1,6.441977024E-1,1.333457790E-2
2.481136305E2,-1.024201140E-1,6.093783975E-1,1.272371225E-2
2.481336426E2,-8.775934577E-2,5.733373165E-1,1.516717300E-2
2.481536541E2,-7.493117452E-2,5.397397280E-1,1.944322884E-2
2.481736730E2,-5.782694742E-2,5.104182363E-1,2.127582580E-2
2.481936830E2,-4.194445163E-2,4.798749685E-1,1.455630735E-2
2.482136983E2,-2.545109019E-2,4.426121712E-1,5.393329076E-3
2.482337105E2,-5.292536225E-3,3.900777996E-1,-3.769649426E-3
2.482537333E2,1.242255606E-2,3.387651145E-1,8.447655477E-3
2.482737499E2,2.830505185E-2,2.813437581E-1,1.089111622E-2
2.482937697E2,4.540927708E-2,2.294202149E-1,1.117272535E-3
2.483137724E2,5.884831399E-2,1.750532091E-1,-8.656571619E-3
2.483337796E2,6.678956747E-2,1.267948598E-1,-2.148474194E-2
2.483537923E2,6.678956747E-2,8.281256258E-2,-1.110003237E-2
2.483738193E2,7.778513432E-2,2.539122477E-2,-1.937053632E-3
2.483938376E2,8.511551470E-2,-3.203010932E-2,-7.153232000E-4
2.484138421E2,8.939158171E-2,-9.433836490E-2,-2.087387629E-2
2.484338549E2,9.000243992E-2,-1.480945051E-1,-2.942598984E-2
2.484538734E2,8.633725345E-2,-1.908550709E-1,-2.942598984E-2
2.484738908E2,7.656341046E-2,-2.336156517E-1,-2.026301250E-2
2.484938969E2,6.068090722E-2,-2.733218670E-1,-1.598695479E-2
2.485139058E2,4.174408689E-2,-3.282997310E-1,-2.270647325E-2
2.485339189E2,3.013764694E-2,-3.912188709E-1,-3.186945245E-2
2.485539311E2,1.364428643E-2,-4.455858767E-1,-2.820426039E-2
2.485739406E2,-1.627344987E-3,-4.834595323E-1,-1.476522349E-2
2.485939534E2,-1.445551496E-2,-5.023963451E-1,-8.656571619E-3
2.486139626E2,-2.728368528E-2,-5.225548744E-1,-6.213110406E-3
2.486339722E2,-4.011185467E-2,-5.518764257E-1,-1.110003237E-2
2.486539806E2,-5.294002593E-2,-6.031891108E-1,-2.087387629E-2
2.486739935E2,-6.454646587E-2,-6.459497213E-1,-9.878301993E-3
2.486940101E2,-7.187684625E-2,-6.764929295E-1,-1.044579622E-4
2.487140284E2,-8.042896539E-2,-6.813798547E-1,-1.044579622E-4
2.487340513E2,-8.287242055E-2,-6.801581383E-1,-4.380514845E-3
2.487540682E2,-8.165069669E-2,-6.758821011E-1,-4.380514845E-3
2.487740813E2,-8.287242055E-2,-6.716060042E-1,-1.044579622E-4
2.487940877E2,-7.676377147E-2,-6.777146459E-1,7.225925103E-3
2.488141050E2,-6.515733153E-2,-6.905428171E-1,1.089111622E-2
2.488341176E2,-5.782694742E-2,-6.990949512E-1,-7.153232000E-4
2.488541343E2,-4.316618294E-2,-6.893211007E-1,-6.213110406E-3
2.488741440E2,-3.155974299E-2,-6.599995494E-1,2.339003142E-3
2.488941531E2,-1.323378459E-2,-6.282345653E-1,1.272371225E-2
2.489141703E2,5.703037605E-3,-5.928043723E-1,1.883236505E-2
2.489341857E2,2.280726470E-2,-5.720349550E-1,1.516717300E-2
2.489542012E2,4.174408689E-2,-5.530981421E-1,-1.326188445E-3
2.489742088E2,5.518312380E-2,-5.268309116E-1,3.560733516E-3
2.489942131E2,6.862216443E-2,-4.920116365E-1,1.577803865E-2
2.490142281E2,7.656341046E-2,-4.425315559E-1,2.677361295E-2
2.490342387E2,8.633725345E-2,-3.918297291E-1,3.104966879E-2
2.490542629E2,9.794368595E-2,-3.441822529E-1,1.516717300E-2
2.490742739E2,1.003871560E-1,-3.014217019E-1,2.949868096E-3
2.490942865E2,1.003871560E-1,-2.641589046E-1,3.560733516E-3
2.491142957E2,1.009980142E-1,-2.159005404E-1,1.394544356E-2
2.491343140E2,9.611108899E-2,-1.713073850E-1,2.005409449E-2
2.491543302E2,8.755898476E-2,-1.108317226E-1,1.272371225E-2
2.491743408E2,7.595253736E-2,-5.707558617E-2,7.225925103E-3
2.491952645E2,6.495697051E-2,2.789210761E-3,-3.158784239E-3
2.492152807E2,5.273966119E-2,5.593448505E-2,-4.380514845E-3
2.492352919E2,3.746802732E-2,9.869505465E-2,-3.769649426E-3
2.492553160E2,2.219639905E-2,1.432882249E-1,-1.354349311E-2
2.492753244E2,9.979094379E-3,1.848270595E-1,-1.904128119E-2
2.492953372E2,-5.292536225E-3,2.343071401E-1,-1.904128119E-2
2.493153402E2,-1.750984229E-2,2.856198251E-1,-1.720868424E-2
2.493353561E2,-3.155974299E-2,3.448737562E-1,-1.720868424E-2
2.493553764E2,-4.194445163E-2,3.955755532E-1,-2.087387629E-2
2.493753935E2,-5.294002593E-2,4.413904548E-1,-2.637166344E-2
2.493954089E2,-5.721608177E-2,4.737663269E-1,-2.759339288E-2
2.494154215E2,-6.637905538E-2,4.988118112E-1,-2.148474194E-2
2.494354404E2,-6.943339109E-2,5.269116163E-1,-1.659782045E-2
2.494554552E2,-7.065512240E-2,5.550113916E-1,-2.148474194E-2
2.494754620E2,-7.248771936E-2,5.910524130E-1,-2.759339288E-2
2.494954648E2,-6.821165234E-2,6.185413599E-1,-2.881512418E-2
2.495154772E2,-6.515733153E-2,6.429759860E-1,-1.843041554E-2
2.495354961E2,-5.782694742E-2,6.564150453E-1,-6.213110406E-3
2.495555124E2,-5.110742897E-2,6.613019705E-1,-1.326188445E-3
2.495755245E2,-4.194445163E-2,6.674106121E-1,-9.267437272E-3
2.495955390E2,-3.094887733E-2,6.698540449E-1,-1.537608914E-2
2.496155567E2,-1.873157173E-2,6.667997241E-1,-1.415435877E-2
2.496355711E2,-4.681671038E-3,6.637454033E-1,-4.380514845E-3
2.496555828E2,6.924768444E-3,6.606910825E-1,5.393329076E-3
2.496755903E2,1.608774811E-2,6.478629112E-1,6.004194263E-3
2.496955993E2,2.647245675E-2,6.258717775E-1,-7.153232000E-4
2.497156078E2,3.746802732E-2,5.977720022E-1,-1.326188445E-3
2.497356206E2,4.235495254E-2,5.763916373E-1,6.615059916E-3
2.497556341E2,4.846360534E-2,5.556222796E-1,1.638890430E-2
2.497756474E2,4.602014646E-2,5.324093699E-1,2.127582580E-2
2.497956608E2,5.151793361E-2,5.006443858E-1,1.883236505E-2
2.498156743E2,4.907447100E-2,4.621598721E-1,1.699976996E-2
2.498356922E2,4.785273969E-2,4.169558287E-1,1.699976996E-2
2.498557104E2,3.930062428E-2,3.711409569E-1,2.310842089E-2
2.498757304E2,3.258110955E-2,3.271586597E-1,2.494101785E-2
2.498957445E2,2.525072731E-2,2.843981087E-1,2.066496015E-2
2.499157595E2,1.425515208E-2,2.465244383E-1,2.066496015E-2
2.499357687E2,3.870442044E-3,2.055964619E-1,2.249755710E-2
2.499557770E2,-7.735997904E-3,1.603924334E-1,2.738447674E-2
2.499757840E2,-2.545109019E-2,1.090797633E-1,2.921707369E-2
2.499958011E2,-3.583579883E-2,5.471275747E-2,2.188668959E-2
2.500158146E2,-4.805310443E-2,-6.373767741E-3,1.333457790E-2
2.500358335E2,-6.149213761E-2,-6.318423152E-2,1.394544356E-2
2.500558409E2,-5.965954065E-2,-1.175512373E-1,1.638890430E-2
2.500758543E2,-6.576819718E-2,-1.584792137E-1,1.761063375E-2
2.500958623E2,-7.004424930E-2,-1.963528544E-1,1.455630735E-2
2.501158756E2,-7.248771936E-2,-2.287287116E-1,5.393329076E-3
2.501358893E2,-7.615290582E-2,-2.684349716E-1,2.949868096E-3
2.501559026E2,-7.370944321E-2,-3.124172688E-1,2.339003142E-3
2.501759162E2,-7.432030886E-2,-3.637299538E-1,4.782463890E-3
2.501959313E2,-7.065512240E-2,-4.211512804E-1,-1.044579622E-4
2.502159483E2,-6.210300326E-2,-4.718530774E-1,-1.293262746E-2
2.502359704E2,-5.843781307E-2,-4.993420243E-1,-2.148474194E-2
2.502559940E2,-4.560964182E-2,-5.195005536E-1,-1.965214498E-2
2.502760143E2,-3.155974299E-2,-5.335505009E-1,-1.354349311E-2
2.502960231E2,-1.812070608E-2,-5.463786721E-1,-1.720868424E-2
2.503160237E2,-2.849075478E-3,-5.738675594E-1,-1.904128119E-2
2.503360313E2,9.368229657E-3,-6.074651480E-1,-3.125858679E-2
2.503560429E2,2.463985980E-2,-6.404519081E-1,-3.553464264E-2
2.503760570E2,3.502457216E-2,-6.514474750E-1,-2.942598984E-2
2.503960704E2,4.174408689E-2,-6.483931541E-1,-2.759339288E-2
2.504160815E2,5.212879553E-2,-6.349540949E-1,-3.003685549E-2
2.504360949E2,6.190264225E-2,-6.215150952E-1,-3.553464264E-2
2.504561056E2,6.373523921E-2,-6.178498268E-1,-3.614550829E-2
2.504761192E2,7.289821655E-2,-6.239585280E-1,-3.370204568E-2
2.504961326E2,7.656341046E-2,-6.233476400E-1,-2.453906834E-2
2.505161496E2,7.839600742E-2,-6.105194688E-1,-2.148474194E-2
2.505361629E2,7.778513432E-2,-5.836414099E-1,-2.087387629E-2
